video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
JTEhv7JCRF0,@ruswaneffendi3468,saran sy dicoba pertanian ramah lingkungan yg tdk dicemari oleh pestisida dan fungisida kimia karena secara langsung tanaman dan buah yg dihasilkan sdh tercemar tdk baik utk kesehatan tks,0,2025-11-27T08:15:28Z,pengendalian hama,2025,saran sy dicoba pertanian ramah lingkungan yg tdk dicemari oleh pestisida dan fungisida kimia karena secara langsung tanaman dan buah yg dihasilkan sdh tercemar tdk baik utk kesehatan tks,"saran, sy, dicoba, pertanian, ramah, lingkungan, yg, tdk, dicemari, oleh, pestisida, dan, fungisida, kimia, karena, secara, langsung, tanaman, dan, buah, yg, dihasilkan, sdh, tercemar, tdk, baik, utk, kesehatan, tks","saran, sy, dicoba, pertanian, ramah, lingkungan, yg, tdk, dicemari, pestisida, fungisida, kimia, langsung, tanaman, buah, yg, dihasilkan, sdh, tercemar, tdk, utk, kesehatan, tks","saran, sy, coba, tani, ramah, lingkung, yg, tdk, cemar, pestisida, fungisida, kimia, langsung, tanam, buah, yg, hasil, sdh, cemar, tdk, utk, sehat, tks","alternatif pengendalian alami, kompatibilitas pestisida, risiko pestisida kesehatan"
JTEhv7JCRF0,@BuRubingah-y7x,kalau pakek pestisida nabati terus pakek fungsida aplikasinya bagaimana pak minggu pertama fungsida minggu ke pestisida nabati,0,2025-09-24T23:46:54Z,pengendalian hama,2025,kalau pakek pestisida nabati terus pakek fungsida aplikasinya bagaimana pak minggu pertama fungsida minggu ke pestisida nabati,"kalau, pakek, pestisida, nabati, terus, pakek, fungsida, aplikasinya, bagaimana, pak, minggu, pertama, fungsida, minggu, ke, pestisida, nabati","pakek, pestisida, nabati, pakek, fungsida, aplikasinya, minggu, fungsida, minggu, pestisida, nabati","pakek, pestisida, nabati, pakek, fungsida, aplikasi, minggu, fungsida, minggu, pestisida, nabati","alternatif pengendalian alami, risiko pestisida kesehatan"
JTEhv7JCRF0,@galangsaputra457,untuk pencegahan hama di fase vegetatif bagus pestisida nabati apa curacron ya pak,0,2024-12-27T15:52:12Z,pengendalian hama,2024,untuk pencegahan hama di fase vegetatif bagus pestisida nabati apa curacron ya pak,"untuk, pencegahan, hama, di, fase, vegetatif, bagus, pestisida, nabati, apa, curacron, ya, pak","pencegahan, hama, fase, vegetatif, bagus, pestisida, nabati, curacron, ya","cegah, hama, fase, vegetatif, bagus, pestisida, nabati, curacron, ya","alternatif pengendalian alami, efektivitas pengendalian hama, risiko pestisida kesehatan"
GzdFV_r-SHM,@RafkaArsya-i7r,ramuan itu semua bener gak hamanya pada mati bos,0,2025-05-16T13:05:54Z,pengendalian hama,2025,ramuan itu semua bener gak hamanya pada mati bos,"ramuan, itu, semua, bener, gak, hamanya, pada, mati, bos","ramuan, bener, gak, hamanya, mati, bos","ramu, bener, gak, hama, mati, bos","alternatif pengendalian alami, efektivitas pengendalian hama"
GzdFV_r-SHM,@bosbondet3976,bang ramuan ini misalkan dicampur dengan bubur kalifornia bisa nggak tks,0,2025-02-05T09:27:59Z,pengendalian hama,2025,bang ramuan ini misalkan dicampur dengan bubur kalifornia bisa nggak tks,"bang, ramuan, ini, misalkan, dicampur, dengan, bubur, kalifornia, bisa, nggak, tks","bang, ramuan, dicampur, bubur, kalifornia, nggak, tks","bang, ramu, campur, bubur, kalifornia, gak, tks","alternatif pengendalian alami, kompatibilitas pestisida"
GzdFV_r-SHM,@lasiantolasianto6258,racikannya ini kalau sudah jadi di fermentasi dulu apa langsung di apkikasikan ke tanaman kang,1,2025-01-21T02:17:25Z,pengendalian hama,2025,racikannya ini kalau sudah jadi di fermentasi dulu apa langsung di apkikasikan ke tanaman kang,"racikannya, ini, kalau, sudah, jadi, di, fermentasi, dulu, apa, langsung, di, apkikasikan, ke, tanaman, kang","racikannya, fermentasi, langsung, apkikasikan, tanaman, kang","racik, fermentasi, langsung, apkikasikan, tanam, kang",alternatif pengendalian alami
GzdFV_r-SHM,@IswantoVivo-f4b,hadir bos ku mau lapor pak coy bedeng gagal panen d serang kupu putih dan ulat gantung mudah an ramuan ini bisa menyelesaikan masalah hama yg paling bandel salam dari margadadi jati agung lamsel,0,2024-08-14T06:33:28Z,pengendalian hama,2024,hadir bos ku mau lapor pak coy bedeng gagal panen d serang kupu putih dan ulat gantung mudah an ramuan ini bisa menyelesaikan masalah hama yg paling bandel salam dari margadadi jati agung lamsel,"hadir, bos, ku, mau, lapor, pak, coy, bedeng, gagal, panen, d, serang, kupu, putih, dan, ulat, gantung, mudah, an, ramuan, ini, bisa, menyelesaikan, masalah, hama, yg, paling, bandel, salam, dari, margadadi, jati, agung, lamsel","hadir, bos, ku, lapor, coy, bedeng, gagal, panen, d, serang, kupu, putih, ulat, gantung, mudah, an, ramuan, menyelesaikan, hama, yg, bandel, salam, margadadi, jati, agung, lamsel","hadir, bos, ku, lapor, coy, bedeng, gagal, panen, d, serang, kupu, putih, ulat, gantung, mudah, an, ramu, selesai, hama, yg, bandel, salam, margadadi, jati, agung, lamsel","alternatif pengendalian alami, efektivitas pengendalian hama"
GzdFV_r-SHM,@ecitahu7243,berapa lama ramuan ini bisa disimpan bang,1,2024-05-18T14:16:08Z,pengendalian hama,2024,berapa lama ramuan ini bisa disimpan bang,"berapa, lama, ramuan, ini, bisa, disimpan, bang","ramuan, disimpan, bang","ramu, simpan, bang",alternatif pengendalian alami
GzdFV_r-SHM,@UjangSuryadi-j4n,mas ini terbukti gak nih dan gimna aman buat tanaman nya,1,2024-03-07T04:50:48Z,pengendalian hama,2024,mas ini terbukti gak nih dan gimna aman buat tanaman nya,"mas, ini, terbukti, gak, nih, dan, gimna, aman, buat, tanaman, nya","mas, terbukti, gak, nih, gimna, aman, tanaman, nya","mas, bukti, gak, nih, gimna, aman, tanam, ","alternatif pengendalian alami, risiko pestisida kesehatan"
JL2VZdA9wuc,@rumibaylah501,terima kasih sangat bermanfaat juga tidak ribet,0,2025-10-21T02:05:15Z,pengendalian hama,2025,terima kasih sangat bermanfaat juga tidak ribet,"terima, kasih, sangat, bermanfaat, juga, tidak, ribet","terima, kasih, bermanfaat, ribet","terima, kasih, manfaat, ribet",alternatif pengendalian alami
