video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
1NnDgJzBAq4,@putrimaharani5942,terimakasih ilmu nya pak ternyata beryanam sayur ckp memakai alat yg ada di dapur saja spt baskom saring dan botol minum,0,2025-12-07T23:59:28Z,hidroponik,2025,terimakasih ilmu nya pak ternyata beryanam sayur ckp memakai alat yg ada di dapur saja spt baskom saring dan botol minum,"terimakasih, ilmu, nya, pak, ternyata, beryanam, sayur, ckp, memakai, alat, yg, ada, di, dapur, saja, spt, baskom, saring, dan, botol, minum","terimakasih, ilmu, nya, beryanam, sayur, ckp, memakai, alat, yg, dapur, spt, baskom, saring, botol, minum","terimakasih, ilmu, , beryanam, sayur, ckp, pakai, alat, yg, dapur, spt, baskom, saring, botol, minum",biaya awal hidroponik
1NnDgJzBAq4,@nurhamidah5871,saya baru mau mulai belajar dan lihat video ini dgn alat yg sderhana ada di rumah semakin semangat utk mencoba bismillah praktek mksih bang tutorialnya,4,2024-12-29T12:27:31Z,hidroponik,2024,saya baru mau mulai belajar dan lihat video ini dgn alat yg sderhana ada di rumah semakin semangat utk mencoba bismillah praktek mksih bang tutorialnya,"saya, baru, mau, mulai, belajar, dan, lihat, video, ini, dgn, alat, yg, sderhana, ada, di, rumah, semakin, semangat, utk, mencoba, bismillah, praktek, mksih, bang, tutorialnya","belajar, lihat, video, dgn, alat, yg, sderhana, rumah, semangat, utk, mencoba, bismillah, praktek, mksih, bang, tutorialnya","ajar, lihat, video, dgn, alat, yg, sderhana, rumah, semangat, utk, coba, bismillah, praktek, mksih, bang, tutorial","biaya awal hidroponik, minat hidroponik"
1NnDgJzBAq4,@ismanto9482,harga kangkung hidroponik perkgnya berapa,1,2024-07-01T03:38:22Z,hidroponik,2024,harga kangkung hidroponik perkgnya berapa,"harga, kangkung, hidroponik, perkgnya, berapa","harga, kangkung, hidroponik, perkgnya","harga, kangkung, hidroponik, perkg",biaya awal hidroponik
1NnDgJzBAq4,@shadowgaming6185,harga bibit sama pupuk nya brp mas kalo panen segitu apa nggk rugi,0,2024-03-20T15:46:21Z,hidroponik,2024,harga bibit sama pupuk nya brp mas kalo panen segitu apa nggk rugi,"harga, bibit, sama, pupuk, nya, brp, mas, kalo, panen, segitu, apa, nggk, rugi","harga, bibit, pupuk, nya, brp, mas, kalo, panen, segitu, nggk, rugi","harga, bibit, pupuk, , brp, mas, kalo, panen, segitu, gk, rugi","biaya awal hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@hendarborneo,beli di tukang sayur itu modal bisa mndapatkan karung bg,2,2024-01-23T11:54:43Z,hidroponik,2024,beli di tukang sayur itu modal bisa mndapatkan karung bg,"beli, di, tukang, sayur, itu, modal, bisa, mndapatkan, karung, bg","beli, tukang, sayur, modal, mndapatkan, karung, bg","beli, tukang, sayur, modal, mndapatkan, karung, bg",biaya awal hidroponik
1NnDgJzBAq4,@vistaprima8895,itu waktu dari awal ke panen brp lama kk kalau untuk du jual seikat nya bisa brp harga nha tu kk,2,2023-05-04T02:41:38Z,hidroponik,2023,itu waktu dari awal ke panen brp lama kk kalau untuk du jual seikat nya bisa brp harga nha tu kk,"itu, waktu, dari, awal, ke, panen, brp, lama, kk, kalau, untuk, du, jual, seikat, nya, bisa, brp, harga, nha, tu, kk","panen, brp, kk, du, jual, seikat, nya, brp, harga, nha, tu, kk","panen, brp, kk, du, jual, ikat, , brp, harga, nha, tu, kk",biaya awal hidroponik
1NnDgJzBAq4,@thamrinyen8944,berapa harga abmix perbungkus,0,2022-07-29T23:38:57Z,hidroponik,2022,berapa harga abmix perbungkus,"berapa, harga, abmix, perbungkus","harga, abmix, perbungkus","harga, abmix, bungkus",biaya awal hidroponik
1NnDgJzBAq4,@sitipariyati7183,ini yg paling simpel mudah dan murah terima kasih ka untuk ilmunyasukses terus,1,2022-06-18T17:46:14Z,hidroponik,2022,ini yg paling simpel mudah dan murah terima kasih ka untuk ilmunyasukses terus,"ini, yg, paling, simpel, mudah, dan, murah, terima, kasih, ka, untuk, ilmunyasukses, terus","yg, simpel, mudah, murah, terima, kasih, ka, ilmunyasukses","yg, simpel, mudah, murah, terima, kasih, ka, ilmunyasukses","biaya awal hidroponik, keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@arowsablon4842,bbrti airnya ga mengalir gpp y biasanya kan pakai pompa sirkulasi,0,2022-05-21T22:39:51Z,hidroponik,2022,bbrti airnya ga mengalir gpp y biasanya kan pakai pompa sirkulasi,"bbrti, airnya, ga, mengalir, gpp, y, biasanya, kan, pakai, pompa, sirkulasi","bbrti, airnya, ga, mengalir, gpp, y, pakai, pompa, sirkulasi","bbrti, air, ga, alir, gpp, y, pakai, pompa, sirkulasi",biaya awal hidroponik
1NnDgJzBAq4,@irhas_ty07,bungkus benih brp kg dan bakul pake benih nya brp gram modal sama harga jual nya gmn mas,0,2021-07-07T00:37:46Z,hidroponik,2021,bungkus benih brp kg dan bakul pake benih nya brp gram modal sama harga jual nya gmn mas,"bungkus, benih, brp, kg, dan, bakul, pake, benih, nya, brp, gram, modal, sama, harga, jual, nya, gmn, mas","bungkus, benih, brp, kg, bakul, pake, benih, nya, brp, gram, modal, harga, jual, nya, gmn, mas","bungkus, benih, brp, kg, bakul, pake, benih, , brp, gram, modal, harga, jual, , gmn, mas","biaya awal hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@arisaprilbate.e2984,secara ekonomi tidak menguntungkan karena bila kita belanjakan sayur kangkung dengan jumlah yang di tutorial senilai rb atau ribu sementara tanam sendiri lebih mahal dengan biaya bahan dan pekerjaan jadi merugikan kita,1,2021-06-15T11:59:47Z,hidroponik,2021,secara ekonomi tidak menguntungkan karena bila kita belanjakan sayur kangkung dengan jumlah yang di tutorial senilai rb atau ribu sementara tanam sendiri lebih mahal dengan biaya bahan dan pekerjaan jadi merugikan kita,"secara, ekonomi, tidak, menguntungkan, karena, bila, kita, belanjakan, sayur, kangkung, dengan, jumlah, yang, di, tutorial, senilai, rb, atau, ribu, sementara, tanam, sendiri, lebih, mahal, dengan, biaya, bahan, dan, pekerjaan, jadi, merugikan, kita","ekonomi, menguntungkan, belanjakan, sayur, kangkung, tutorial, senilai, rb, ribu, tanam, mahal, biaya, bahan, pekerjaan, merugikan","ekonomi, untung, belanja, sayur, kangkung, tutorial, nila, rb, ribu, tanam, mahal, biaya, bahan, kerja, rugi","biaya awal hidroponik, keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@novi23yt72,kali panen sebanyak itu kalau dijual berapa ya karena seikat kangkung di tukang sayur sudah murah,0,2021-05-09T11:30:58Z,hidroponik,2021,kali panen sebanyak itu kalau dijual berapa ya karena seikat kangkung di tukang sayur sudah murah,"kali, panen, sebanyak, itu, kalau, dijual, berapa, ya, karena, seikat, kangkung, di, tukang, sayur, sudah, murah","kali, panen, dijual, ya, seikat, kangkung, tukang, sayur, murah","kali, panen, jual, ya, ikat, kangkung, tukang, sayur, murah",biaya awal hidroponik
1NnDgJzBAq4,@berkahmaxima2310,berapa modal untuk seikat kangkung di video ini,0,2021-05-02T10:19:32Z,hidroponik,2021,berapa modal untuk seikat kangkung di video ini,"berapa, modal, untuk, seikat, kangkung, di, video, ini","modal, seikat, kangkung, video","modal, ikat, kangkung, video",biaya awal hidroponik
1NnDgJzBAq4,@ronnykusumah7739,makasih ilmunya smoga berkah insya alloh mw sy coba tp klw untuk kontinuitas panen mana yg lebih efesien baik dari waktu maupun biaya dipotong akarnya atw batangnya,1,2021-02-23T16:18:21Z,hidroponik,2021,makasih ilmunya smoga berkah insya alloh mw sy coba tp klw untuk kontinuitas panen mana yg lebih efesien baik dari waktu maupun biaya dipotong akarnya atw batangnya,"makasih, ilmunya, smoga, berkah, insya, alloh, mw, sy, coba, tp, klw, untuk, kontinuitas, panen, mana, yg, lebih, efesien, baik, dari, waktu, maupun, biaya, dipotong, akarnya, atw, batangnya","makasih, ilmunya, smoga, berkah, insya, alloh, mw, sy, coba, tp, klw, kontinuitas, panen, yg, efesien, biaya, dipotong, akarnya, atw, batangnya","makasih, ilmu, smoga, berkah, insya, alloh, mw, sy, coba, tp, klw, kontinuitas, panen, yg, efesien, biaya, potong, akar, atw, batang","biaya awal hidroponik, minat hidroponik"
mLdvwruqEpo,@SusanSusan-y5n,baskom dan keranjang nya ukuran brp bang mau beli di online biar murah tapi tkut salah ukuran,0,2025-05-01T10:29:34Z,hidroponik,2025,baskom dan keranjang nya ukuran brp bang mau beli di online biar murah tapi tkut salah ukuran,"baskom, dan, keranjang, nya, ukuran, brp, bang, mau, beli, di, online, biar, murah, tapi, tkut, salah, ukuran","baskom, keranjang, nya, ukuran, brp, bang, beli, online, biar, murah, tkut, salah, ukuran","baskom, ranjang, , ukur, brp, bang, beli, online, biar, murah, tkut, salah, ukur",biaya awal hidroponik
mLdvwruqEpo,@suprayogi7599,nutrisinya harga nya berapa ya om blinya d mana,1,2025-01-02T08:11:06Z,hidroponik,2025,nutrisinya harga nya berapa ya om blinya d mana,"nutrisinya, harga, nya, berapa, ya, om, blinya, d, mana","nutrisinya, harga, nya, ya, om, blinya, d","nutrisi, harga, , ya, om, bli, d",biaya awal hidroponik
mLdvwruqEpo,@SaidulAkbar-ex4hb,brrp harga ab mix,1,2024-08-02T09:20:54Z,hidroponik,2024,brrp harga ab mix,"brrp, harga, ab, mix","brrp, harga, ab, mix","brrp, harga, ab, mix","biaya awal hidroponik, kompleksitas perawatan"
mLdvwruqEpo,@NanangNabe-u4e,alat penyemaian yg berwarna pink kurang numbuh tu kang,1,2024-05-30T03:07:51Z,hidroponik,2024,alat penyemaian yg berwarna pink kurang numbuh tu kang,"alat, penyemaian, yg, berwarna, pink, kurang, numbuh, tu, kang","alat, penyemaian, yg, berwarna, pink, numbuh, tu, kang","alat, semai, yg, warna, pink, numbuh, tu, kang",biaya awal hidroponik
mLdvwruqEpo,@huldaliem7720,btul klo bli murah ttp seni klo tanam sendiri lbh puas utk bljr menaman,2,2024-05-21T02:39:51Z,hidroponik,2024,btul klo bli murah ttp seni klo tanam sendiri lbh puas utk bljr menaman,"btul, klo, bli, murah, ttp, seni, klo, tanam, sendiri, lbh, puas, utk, bljr, menaman","btul, klo, bli, murah, ttp, seni, klo, tanam, lbh, puas, utk, bljr, menaman","btul, klo, bli, murah, ttp, seni, klo, tanam, lbh, puas, utk, bljr, tam","biaya awal hidroponik, kompleksitas perawatan"
mLdvwruqEpo,@krisnayuriko7059,tp kalo hidroponik pupuk ab mix nya mahal blm lg hrs diukur kadar airnya,1,2023-04-02T14:39:50Z,hidroponik,2023,tp kalo hidroponik pupuk ab mix nya mahal blm lg hrs diukur kadar airnya,"tp, kalo, hidroponik, pupuk, ab, mix, nya, mahal, blm, lg, hrs, diukur, kadar, airnya","tp, kalo, hidroponik, pupuk, ab, mix, nya, mahal, blm, lg, hrs, diukur, kadar, airnya","tp, kalo, hidroponik, pupuk, ab, mix, , mahal, blm, lg, hrs, ukur, kadar, air","biaya awal hidroponik, kompleksitas perawatan"
mLdvwruqEpo,@fazrulanas5141,mau nanya bang merawat kangkung gitu lebih efisien dari segi harga gak apa lebih mudah beli di warung secara harga kangkung jg murah,1,2023-03-09T07:53:32Z,hidroponik,2023,mau nanya bang merawat kangkung gitu lebih efisien dari segi harga gak apa lebih mudah beli di warung secara harga kangkung jg murah,"mau, nanya, bang, merawat, kangkung, gitu, lebih, efisien, dari, segi, harga, gak, apa, lebih, mudah, beli, di, warung, secara, harga, kangkung, jg, murah","nanya, bang, merawat, kangkung, gitu, efisien, segi, harga, gak, mudah, beli, warung, harga, kangkung, jg, murah","na, bang, rawat, kangkung, gitu, efisien, segi, harga, gak, mudah, beli, warung, harga, kangkung, jg, murah","biaya awal hidroponik, keuntungan hidroponik, kompleksitas perawatan"
mLdvwruqEpo,@alimudin7437,klo mau tanam itu yg harga nya mahal cabe dll klo kangkung rb udh bnyk beli,1,2022-07-22T15:42:20Z,hidroponik,2022,klo mau tanam itu yg harga nya mahal cabe dll klo kangkung rb udh bnyk beli,"klo, mau, tanam, itu, yg, harga, nya, mahal, cabe, dll, klo, kangkung, rb, udh, bnyk, beli","klo, tanam, yg, harga, nya, mahal, cabe, dll, klo, kangkung, rb, udh, bnyk, beli","klo, tanam, yg, harga, , mahal, cabe, dll, klo, kangkung, rb, udh, bnyk, beli","biaya awal hidroponik, kompleksitas perawatan"
mLdvwruqEpo,@gorjessfebrian990,wahh bermanfaat sekali bisa untuk nanem selada gak bang soalnya slada lagi mahal saya jualan pake slada mahal banhet sladanya,2,2022-05-24T16:16:54Z,hidroponik,2022,wahh bermanfaat sekali bisa untuk nanem selada gak bang soalnya slada lagi mahal saya jualan pake slada mahal banhet sladanya,"wahh, bermanfaat, sekali, bisa, untuk, nanem, selada, gak, bang, soalnya, slada, lagi, mahal, saya, jualan, pake, slada, mahal, banhet, sladanya","wahh, bermanfaat, nanem, selada, gak, bang, slada, mahal, jualan, pake, slada, mahal, banhet, sladanya","wahh, manfaat, nanem, selada, gak, bang, slada, mahal, jual, pake, slada, mahal, banhet, slada",biaya awal hidroponik
mLdvwruqEpo,@MrsNona-rs3gj,bang boleh tau itu modal nya berapa ya sekali nanem bibit nutrisi nya,1,2022-04-07T06:23:16Z,hidroponik,2022,bang boleh tau itu modal nya berapa ya sekali nanem bibit nutrisi nya,"bang, boleh, tau, itu, modal, nya, berapa, ya, sekali, nanem, bibit, nutrisi, nya","bang, tau, modal, nya, ya, nanem, bibit, nutrisi, nya","bang, tau, modal, , ya, nanem, bibit, nutrisi, ","biaya awal hidroponik, kompleksitas perawatan"
DcG3sqwpSa0,@nananview9732,mantapbisa jg bikin aquaponik integrasi kolam ikan cukup tambahkan pompa air aquarium k dg listrik w,0,2025-02-11T03:00:53Z,hidroponik,2025,mantapbisa jg bikin aquaponik integrasi kolam ikan cukup tambahkan pompa air aquarium k dg listrik w,"mantapbisa, jg, bikin, aquaponik, integrasi, kolam, ikan, cukup, tambahkan, pompa, air, aquarium, k, dg, listrik, w","mantapbisa, jg, bikin, aquaponik, integrasi, kolam, ikan, tambahkan, pompa, air, aquarium, k, dg, listrik, w","mantapbisa, jg, bikin, aquaponik, integrasi, kolam, ikan, tambah, pompa, air, aquarium, k, dg, listrik, w","biaya awal hidroponik, kompleksitas perawatan"
DcG3sqwpSa0,@harsoyosamsung7158,mantap banget mas oh ya boleh minta tlong mas bikinkan video tutorial ttg bawang daun loncang hidroponik dari semai sampai panen kebetulan didaerah kami harga bwang daun sngat mahal rp kg trm ksih sebelumnya semoga berkah dan sukses sllu,6,2021-07-24T06:32:56Z,hidroponik,2021,mantap banget mas oh ya boleh minta tlong mas bikinkan video tutorial ttg bawang daun loncang hidroponik dari semai sampai panen kebetulan didaerah kami harga bwang daun sngat mahal rp kg trm ksih sebelumnya semoga berkah dan sukses sllu,"mantap, banget, mas, oh, ya, boleh, minta, tlong, mas, bikinkan, video, tutorial, ttg, bawang, daun, loncang, hidroponik, dari, semai, sampai, panen, kebetulan, didaerah, kami, harga, bwang, daun, sngat, mahal, rp, kg, trm, ksih, sebelumnya, semoga, berkah, dan, sukses, sllu","mantap, banget, mas, oh, ya, tlong, mas, bikinkan, video, tutorial, ttg, bawang, daun, loncang, hidroponik, semai, panen, didaerah, harga, bwang, daun, sngat, mahal, rp, kg, trm, ksih, semoga, berkah, sukses, sllu","mantap, banget, mas, oh, ya, tlong, mas, bikin, video, tutorial, ttg, bawang, daun, loncang, hidroponik, semai, panen, daerah, harga, bwang, daun, sngat, mahal, rp, kg, trm, ksih, moga, berkah, sukses, sllu",biaya awal hidroponik
