video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
kS16kRKYJGg,@Nadanom,ujaran pipa utama gan,0,2025-12-22T10:30:13Z,irigasi,2025,ujaran pipa utama gan,"ujaran, pipa, utama, gan","ujaran, pipa, utama, gan","ujar, pipa, utama, gan",biaya infrastruktur irigasi
kS16kRKYJGg,@TCS-101,doktrin pertanian gak mantep kalo tanpa pupuk kimia menjerit saat pupuk mahal dan langka,0,2025-05-22T02:44:39Z,irigasi,2025,doktrin pertanian gak mantep kalo tanpa pupuk kimia menjerit saat pupuk mahal dan langka,"doktrin, pertanian, gak, mantep, kalo, tanpa, pupuk, kimia, menjerit, saat, pupuk, mahal, dan, langka","doktrin, pertanian, gak, mantep, kalo, pupuk, kimia, menjerit, pupuk, mahal, langka","doktrin, tani, gak, mantep, kalo, pupuk, kimia, jerit, pupuk, mahal, langka",biaya infrastruktur irigasi
kS16kRKYJGg,@mohammadsyamsulbahri4925,sangat menginspirasi tp maaf saya masih belum faham instalasi dari pupuk ke pipa itu apa menggunakan motor atau bagaimana mohon pencerahannya terimakasih,1,2025-03-21T16:43:08Z,irigasi,2025,sangat menginspirasi tp maaf saya masih belum faham instalasi dari pupuk ke pipa itu apa menggunakan motor atau bagaimana mohon pencerahannya terimakasih,"sangat, menginspirasi, tp, maaf, saya, masih, belum, faham, instalasi, dari, pupuk, ke, pipa, itu, apa, menggunakan, motor, atau, bagaimana, mohon, pencerahannya, terimakasih","menginspirasi, tp, maaf, faham, instalasi, pupuk, pipa, motor, mohon, pencerahannya, terimakasih","inspirasi, tp, maaf, faham, instalasi, pupuk, pipa, motor, mohon, cerah, terimakasih",biaya infrastruktur irigasi
kS16kRKYJGg,@muhammadefendi6259,pake pompa apa bang,0,2025-03-01T04:45:04Z,irigasi,2025,pake pompa apa bang,"pake, pompa, apa, bang","pake, pompa, bang","pake, pompa, bang",biaya infrastruktur irigasi
kS16kRKYJGg,@smlv246,permisi mau tanya kalau pemupukan pakai sistem bypass venturi seperti di video apakah pertumbuhan tanaman di ujung driptape bisa seimbang dengan tanaman di dekat jalur pipa induk soalnya pupuknya kan lebih banyak yang di dekat pipa induk,0,2025-02-08T12:43:02Z,irigasi,2025,permisi mau tanya kalau pemupukan pakai sistem bypass venturi seperti di video apakah pertumbuhan tanaman di ujung driptape bisa seimbang dengan tanaman di dekat jalur pipa induk soalnya pupuknya kan lebih banyak yang di dekat pipa induk,"permisi, mau, tanya, kalau, pemupukan, pakai, sistem, bypass, venturi, seperti, di, video, apakah, pertumbuhan, tanaman, di, ujung, driptape, bisa, seimbang, dengan, tanaman, di, dekat, jalur, pipa, induk, soalnya, pupuknya, kan, lebih, banyak, yang, di, dekat, pipa, induk","permisi, pemupukan, pakai, sistem, bypass, venturi, video, pertumbuhan, tanaman, ujung, driptape, seimbang, tanaman, jalur, pipa, induk, pupuknya, pipa, induk","permisi, pupu, pakai, sistem, bypass, venturi, video, tumbuh, tanam, ujung, driptape, imbang, tanam, jalur, pipa, induk, pupuk, pipa, induk",biaya infrastruktur irigasi
kS16kRKYJGg,@dendy646,pemupukan npk dilarutkan kemudian diinjek melalui venturi ke sistem drip tetes apa tidak menyebabkan tersumbat mampet lubang drip di selangnya bang kalau memang mampet bagaimana perawatan maintenance selangnya thanks,0,2024-12-16T14:11:19Z,irigasi,2024,pemupukan npk dilarutkan kemudian diinjek melalui venturi ke sistem drip tetes apa tidak menyebabkan tersumbat mampet lubang drip di selangnya bang kalau memang mampet bagaimana perawatan maintenance selangnya thanks,"pemupukan, npk, dilarutkan, kemudian, diinjek, melalui, venturi, ke, sistem, drip, tetes, apa, tidak, menyebabkan, tersumbat, mampet, lubang, drip, di, selangnya, bang, kalau, memang, mampet, bagaimana, perawatan, maintenance, selangnya, thanks","pemupukan, npk, dilarutkan, diinjek, venturi, sistem, drip, tetes, menyebabkan, tersumbat, mampet, lubang, drip, selangnya, bang, mampet, perawatan, maintenance, selangnya, thanks","pupu, npk, larut, injek, venturi, sistem, drip, tetes, sebab, sumbat, mampet, lubang, drip, selang, bang, mampet, awat, maintenance, selang, thanks","biaya infrastruktur irigasi, keandalan sistem irigasi, teknologi irigasi modern"
kS16kRKYJGg,@fathurrohman7079,konektor dari pipa ke kran selang drip apa namanya gan,0,2024-10-01T04:37:52Z,irigasi,2024,konektor dari pipa ke kran selang drip apa namanya gan,"konektor, dari, pipa, ke, kran, selang, drip, apa, namanya, gan","konektor, pipa, kran, selang, drip, namanya, gan","konektor, pipa, kran, selang, drip, nama, gan","biaya infrastruktur irigasi, teknologi irigasi modern"
kS16kRKYJGg,@edwarrahmat2028,modal irigasi berapa biayanya mas dan berapa luar lahan,0,2024-08-04T01:26:24Z,irigasi,2024,modal irigasi berapa biayanya mas dan berapa luar lahan,"modal, irigasi, berapa, biayanya, mas, dan, berapa, luar, lahan","modal, irigasi, biayanya, mas, lahan","modal, irigasi, biaya, mas, lahan","biaya infrastruktur irigasi, efisiensi air irigasi"
kS16kRKYJGg,@dianpermana8170,bos melubangi pipa drip nya pakai apa kok netesnya bagus,0,2024-06-13T04:56:00Z,irigasi,2024,bos melubangi pipa drip nya pakai apa kok netesnya bagus,"bos, melubangi, pipa, drip, nya, pakai, apa, kok, netesnya, bagus","bos, melubangi, pipa, drip, nya, pakai, netesnya, bagus","bos, lubang, pipa, drip, , pakai, netes, bagus","biaya infrastruktur irigasi, teknologi irigasi modern"
kS16kRKYJGg,@Sriwahyuni-is7nz,apa pake mesen pompa itu bang,0,2024-05-31T22:30:32Z,irigasi,2024,apa pake mesen pompa itu bang,"apa, pake, mesen, pompa, itu, bang","pake, mesen, pompa, bang","pake, mesen, pompa, bang",biaya infrastruktur irigasi
