video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
Z3QfdLBjRWk,@SudiLebong,asalamualaykum pak saya petani padi pemula saya masi bingung cara mengolah lahan untuk mengurangi zat asam pada lahan saya pak padi saya bantut atau kerdil pak apa bahan yg bagus untuk mengatifkan lahan sawah saya pak,0,2025-10-18T07:25:28Z,pemupukan,2025,asalamualaykum pak saya petani padi pemula saya masi bingung cara mengolah lahan untuk mengurangi zat asam pada lahan saya pak padi saya bantut atau kerdil pak apa bahan yg bagus untuk mengatifkan lahan sawah saya pak,"asalamualaykum, pak, saya, petani, padi, pemula, saya, masi, bingung, cara, mengolah, lahan, untuk, mengurangi, zat, asam, pada, lahan, saya, pak, padi, saya, bantut, atau, kerdil, pak, apa, bahan, yg, bagus, untuk, mengatifkan, lahan, sawah, saya, pak","asalamualaykum, petani, padi, pemula, masi, bingung, mengolah, lahan, mengurangi, zat, asam, lahan, padi, bantut, kerdil, bahan, yg, bagus, mengatifkan, lahan, sawah","asalamualaykum, tani, padi, mula, mas, bingung, olah, lahan, urangi, zat, asam, lahan, padi, bantut, rdil, bahan, yg, bagus, atifkan, lahan, sawah",dampak pupuk ke tanaman
Z3QfdLBjRWk,@penjaganyalankri9271,klau pupuk kcl berapa hari habis atau hilang dari tanah saat pemupukan padi,0,2024-12-14T05:21:35Z,pemupukan,2024,klau pupuk kcl berapa hari habis atau hilang dari tanah saat pemupukan padi,"klau, pupuk, kcl, berapa, hari, habis, atau, hilang, dari, tanah, saat, pemupukan, padi","klau, pupuk, kcl, habis, hilang, tanah, pemupukan, padi","klau, pupuk, kcl, habis, hilang, tanah, pupu, padi","dampak pupuk ke tanaman, dosis dan waktu pupuk"
Z3QfdLBjRWk,@nimunjakarta8494,sy punya pohon belimbing dan kedondong tadinya subur tapi lama kelamaan pohon sy jadi daunnya menguning dan rontok menurut sy pupuknya sdh cukup mohon pencerahan bang dan terimakasih,0,2024-12-05T07:09:44Z,pemupukan,2024,sy punya pohon belimbing dan kedondong tadinya subur tapi lama kelamaan pohon sy jadi daunnya menguning dan rontok menurut sy pupuknya sdh cukup mohon pencerahan bang dan terimakasih,"sy, punya, pohon, belimbing, dan, kedondong, tadinya, subur, tapi, lama, kelamaan, pohon, sy, jadi, daunnya, menguning, dan, rontok, menurut, sy, pupuknya, sdh, cukup, mohon, pencerahan, bang, dan, terimakasih","sy, pohon, belimbing, kedondong, subur, pohon, sy, daunnya, menguning, rontok, sy, pupuknya, sdh, mohon, pencerahan, bang, terimakasih","sy, pohon, belimbing, dondong, subur, pohon, sy, daun, uning, rontok, sy, pupuk, sdh, mohon, cerah, bang, terimakasih",dampak pupuk ke tanaman
Z3QfdLBjRWk,@SriOno-c2b,pak mau tanya nama sy sriono sri sy petani padi kecil dari desa tj gusta pemupukan padi hst memakai jakaba bersamaan racun ulat lainnya pak boleh tolong dijawab yp pak,1,2024-10-25T00:39:44Z,pemupukan,2024,pak mau tanya nama sy sriono sri sy petani padi kecil dari desa tj gusta pemupukan padi hst memakai jakaba bersamaan racun ulat lainnya pak boleh tolong dijawab yp pak,"pak, mau, tanya, nama, sy, sriono, sri, sy, petani, padi, kecil, dari, desa, tj, gusta, pemupukan, padi, hst, memakai, jakaba, bersamaan, racun, ulat, lainnya, pak, boleh, tolong, dijawab, yp, pak","nama, sy, sriono, sri, sy, petani, padi, desa, tj, gusta, pemupukan, padi, hst, memakai, jakaba, bersamaan, racun, ulat, tolong, yp","nama, sy, sriono, sri, sy, tani, padi, desa, tj, gusta, pupu, padi, hst, pakai, jakaba, sama, racun, ulat, tolong, yp",dampak pupuk ke tanaman
Z3QfdLBjRWk,@SCRET_STORY,mau tanyak bang jika pupuk urea di tabur di tanah terlalu lama apakah akan habis pupuknya mohon bantuannya,0,2024-08-18T12:28:31Z,pemupukan,2024,mau tanyak bang jika pupuk urea di tabur di tanah terlalu lama apakah akan habis pupuknya mohon bantuannya,"mau, tanyak, bang, jika, pupuk, urea, di, tabur, di, tanah, terlalu, lama, apakah, akan, habis, pupuknya, mohon, bantuannya","tanyak, bang, pupuk, urea, tabur, tanah, habis, pupuknya, mohon, bantuannya","tanyak, bang, pupuk, urea, tabur, tanah, habis, pupuk, mohon, bantu","dampak pupuk ke tanaman, dosis dan waktu pupuk, konflik pupuk kimia organik"
Z3QfdLBjRWk,@pawitfais9839,pak saya mau tanya saya nanam timun usia udah bulan belum juga berbuah hrus pake pupuk apa yah padahal tanaman lebat dan subur,0,2024-07-04T23:42:58Z,pemupukan,2024,pak saya mau tanya saya nanam timun usia udah bulan belum juga berbuah hrus pake pupuk apa yah padahal tanaman lebat dan subur,"pak, saya, mau, tanya, saya, nanam, timun, usia, udah, bulan, belum, juga, berbuah, hrus, pake, pupuk, apa, yah, padahal, tanaman, lebat, dan, subur","nanam, timun, usia, udah, berbuah, hrus, pake, pupuk, yah, tanaman, lebat, subur","nanam, timun, usia, udah, buah, hrus, pake, pupuk, yah, tanam, lebat, subur","dampak pupuk ke tanaman, dosis dan waktu pupuk"
Z3QfdLBjRWk,@SayyidAlmahdi-b8u,pak mohon informasinya kelapa saya berbuah tapi tidak ada isinya kesep jikalau ada itu pun tempurungnya kecil jadi penyebabnya apa pak mohon sekali informasinya,0,2023-07-08T08:36:33Z,pemupukan,2023,pak mohon informasinya kelapa saya berbuah tapi tidak ada isinya kesep jikalau ada itu pun tempurungnya kecil jadi penyebabnya apa pak mohon sekali informasinya,"pak, mohon, informasinya, kelapa, saya, berbuah, tapi, tidak, ada, isinya, kesep, jikalau, ada, itu, pun, tempurungnya, kecil, jadi, penyebabnya, apa, pak, mohon, sekali, informasinya","mohon, informasinya, kelapa, berbuah, isinya, kesep, tempurungnya, penyebabnya, mohon, informasinya","mohon, informasi, lapa, buah, isi, sep, tempurung, sebab, mohon, informasi",dampak pupuk ke tanaman
Z3QfdLBjRWk,@muhammadarif-mo2sl,bang kenapa ya jagung saya walaupun sudah di kasih pupuk tetap saja kerdil dan kuning,1,2022-12-28T07:26:11Z,pemupukan,2022,bang kenapa ya jagung saya walaupun sudah di kasih pupuk tetap saja kerdil dan kuning,"bang, kenapa, ya, jagung, saya, walaupun, sudah, di, kasih, pupuk, tetap, saja, kerdil, dan, kuning","bang, ya, jagung, kasih, pupuk, kerdil, kuning","bang, ya, jagung, kasih, pupuk, rdil, kuning","dampak pupuk ke tanaman, dosis dan waktu pupuk"
Z3QfdLBjRWk,@rikirika2391,assalamualaikum kak rizal mo numpang tanya lo kak mengapa padi yg saya pupuk dgn poc jakaba pgpr pesnab psb dosis mil tangki ltr tapi entah mengapa daun nya menjadi kuning semua tlg beri penjelasan nya cara memperbaikinya saya tunggu jwb nya kak terima kasih sebelumnya wasallam dari medan,0,2022-08-06T11:04:39Z,pemupukan,2022,assalamualaikum kak rizal mo numpang tanya lo kak mengapa padi yg saya pupuk dgn poc jakaba pgpr pesnab psb dosis mil tangki ltr tapi entah mengapa daun nya menjadi kuning semua tlg beri penjelasan nya cara memperbaikinya saya tunggu jwb nya kak terima kasih sebelumnya wasallam dari medan,"assalamualaikum, kak, rizal, mo, numpang, tanya, lo, kak, mengapa, padi, yg, saya, pupuk, dgn, poc, jakaba, pgpr, pesnab, psb, dosis, mil, tangki, ltr, tapi, entah, mengapa, daun, nya, menjadi, kuning, semua, tlg, beri, penjelasan, nya, cara, memperbaikinya, saya, tunggu, jwb, nya, kak, terima, kasih, sebelumnya, wasallam, dari, medan","assalamualaikum, kak, rizal, mo, numpang, lo, kak, padi, yg, pupuk, dgn, poc, jakaba, pgpr, pesnab, psb, dosis, mil, tangki, ltr, daun, nya, kuning, tlg, penjelasan, nya, memperbaikinya, tunggu, jwb, nya, kak, terima, kasih, wasallam, medan","assalamualaikum, kak, rizal, mo, numpang, lo, kak, padi, yg, pupuk, dgn, poc, jakaba, pgpr, pesnab, psb, dosis, mil, tangki, ltr, daun, , kuning, tlg, jelas, , baik, tunggu, jwb, , kak, terima, kasih, wasallam, medan","dampak pupuk ke tanaman, dosis dan waktu pupuk"
Z3QfdLBjRWk,@sutiknoaduluwe7899,sangat membantu petani jenis pupuk untuk tanaman kayu kayuan jabon pulai ketapang supaya tanaman cepat tumbuh besar jenis pupuk saat bulan basah bulan kering,1,2021-12-11T18:00:12Z,pemupukan,2021,sangat membantu petani jenis pupuk untuk tanaman kayu kayuan jabon pulai ketapang supaya tanaman cepat tumbuh besar jenis pupuk saat bulan basah bulan kering,"sangat, membantu, petani, jenis, pupuk, untuk, tanaman, kayu, kayuan, jabon, pulai, ketapang, supaya, tanaman, cepat, tumbuh, besar, jenis, pupuk, saat, bulan, basah, bulan, kering","membantu, petani, jenis, pupuk, tanaman, kayu, kayuan, jabon, pulai, ketapang, tanaman, cepat, tumbuh, jenis, pupuk, basah, kering","bantu, tani, jenis, pupuk, tanam, kayu, kayu, jabon, pulai, tapang, tanam, cepat, tumbuh, jenis, pupuk, basah, ring","dampak pupuk ke tanaman, dosis dan waktu pupuk"
