video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
kS16kRKYJGg,@widisantoso3692,tapi untuk ukuran petani yang bener bener petani tanaman seperti itu masih kurang bagus hasil kurang maksimal tidak bisa menghasilkan keuntungan secara ekonomi kalau untuk petani hobi mayan lah,0,2025-12-14T13:59:30Z,irigasi,2025,tapi untuk ukuran petani yang bener bener petani tanaman seperti itu masih kurang bagus hasil kurang maksimal tidak bisa menghasilkan keuntungan secara ekonomi kalau untuk petani hobi mayan lah,"tapi, untuk, ukuran, petani, yang, bener, bener, petani, tanaman, seperti, itu, masih, kurang, bagus, hasil, kurang, maksimal, tidak, bisa, menghasilkan, keuntungan, secara, ekonomi, kalau, untuk, petani, hobi, mayan, lah","ukuran, petani, bener, bener, petani, tanaman, bagus, hasil, maksimal, menghasilkan, keuntungan, ekonomi, petani, hobi, mayan","ukur, tani, bener, bener, tani, tanam, bagus, hasil, maksimal, hasil, untung, ekonomi, tani, hobi, mayan",efisiensi air irigasi
kS16kRKYJGg,@dandang182,dia paham pemupukan sesuai fase tumbuh dia paham opsi pengairan terbaik paling masuk akal dia paham penanggulangan fungi insekta dia hanya perlu aplikasikan drip tape pada tanaman yg penuh resiko sangat menantang bgmn dng bawang merah atau melon mungkin akan d buat next episode d tunggu melonya min brooh,0,2025-08-12T11:58:07Z,irigasi,2025,dia paham pemupukan sesuai fase tumbuh dia paham opsi pengairan terbaik paling masuk akal dia paham penanggulangan fungi insekta dia hanya perlu aplikasikan drip tape pada tanaman yg penuh resiko sangat menantang bgmn dng bawang merah atau melon mungkin akan d buat next episode d tunggu melonya min brooh,"dia, paham, pemupukan, sesuai, fase, tumbuh, dia, paham, opsi, pengairan, terbaik, paling, masuk, akal, dia, paham, penanggulangan, fungi, insekta, dia, hanya, perlu, aplikasikan, drip, tape, pada, tanaman, yg, penuh, resiko, sangat, menantang, bgmn, dng, bawang, merah, atau, melon, mungkin, akan, d, buat, next, episode, d, tunggu, melonya, min, brooh","paham, pemupukan, sesuai, fase, tumbuh, paham, opsi, pengairan, terbaik, masuk, akal, paham, penanggulangan, fungi, insekta, aplikasikan, drip, tape, tanaman, yg, penuh, resiko, menantang, bgmn, dng, bawang, merah, melon, d, next, episode, d, tunggu, melonya, min, brooh","paham, pupu, sesuai, fase, tumbuh, paham, opsi, air, baik, masuk, akal, paham, tanggulang, fungi, insekta, aplikasi, drip, tape, tanam, yg, penuh, resiko, tantang, bgmn, dng, bawang, merah, melon, d, next, episode, d, tunggu, melo, min, brooh","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@aziz-y8g8t,mn mesin pengairan ny mas,0,2025-07-05T14:38:23Z,irigasi,2025,mn mesin pengairan ny mas,"mn, mesin, pengairan, ny, mas","mn, mesin, pengairan, ny, mas","mn, mesin, air, ny, mas",efisiensi air irigasi
kS16kRKYJGg,@desamanfaat2829,tinggi sumber air,0,2025-06-28T23:10:23Z,irigasi,2025,tinggi sumber air,"tinggi, sumber, air","sumber, air","sumber, air",efisiensi air irigasi
kS16kRKYJGg,@kaisaruntika9144,bang infoo selang irigasi nya beli dmna,0,2025-05-29T23:48:42Z,irigasi,2025,bang infoo selang irigasi nya beli dmna,"bang, infoo, selang, irigasi, nya, beli, dmna","bang, infoo, selang, irigasi, nya, beli, dmna","bang, infoo, selang, irigasi, , beli, dmna",efisiensi air irigasi
kS16kRKYJGg,@arvinzayazira3807,selang irigasi tetes nya pa namanya mas,0,2024-12-25T13:38:20Z,irigasi,2024,selang irigasi tetes nya pa namanya mas,"selang, irigasi, tetes, nya, pa, namanya, mas","selang, irigasi, tetes, nya, pa, namanya, mas","selang, irigasi, tetes, , pa, nama, mas","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@danielrizky9894,irigasi tetes mengingatkan saya ke pertanian di israel,3,2024-10-23T01:19:44Z,irigasi,2024,irigasi tetes mengingatkan saya ke pertanian di israel,"irigasi, tetes, mengingatkan, saya, ke, pertanian, di, israel","irigasi, tetes, pertanian, israel","irigasi, tetes, tani, israel","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@edwarrahmat2028,modal irigasi berapa biayanya mas dan berapa luar lahan,0,2024-08-04T01:26:24Z,irigasi,2024,modal irigasi berapa biayanya mas dan berapa luar lahan,"modal, irigasi, berapa, biayanya, mas, dan, berapa, luar, lahan","modal, irigasi, biayanya, mas, lahan","modal, irigasi, biaya, mas, lahan","biaya infrastruktur irigasi, efisiensi air irigasi"
kS16kRKYJGg,@tettatojeng6835,mau tanya itu pada saat pengisapan air baik itu pupuk cair pake mesin yah boleh di spill dong mesinx,0,2024-07-24T02:41:04Z,irigasi,2024,mau tanya itu pada saat pengisapan air baik itu pupuk cair pake mesin yah boleh di spill dong mesinx,"mau, tanya, itu, pada, saat, pengisapan, air, baik, itu, pupuk, cair, pake, mesin, yah, boleh, di, spill, dong, mesinx","pengisapan, air, pupuk, cair, pake, mesin, yah, spill, mesinx","isap, air, pupuk, cair, pake, mesin, yah, spill, mesinx",efisiensi air irigasi
kS16kRKYJGg,@fransiscuspaiman2182,semoga petani indonesia semakin maju hasil melimpah dg cara irigasi tetes bisa menghemat air dan tenaga,0,2024-07-03T10:17:42Z,irigasi,2024,semoga petani indonesia semakin maju hasil melimpah dg cara irigasi tetes bisa menghemat air dan tenaga,"semoga, petani, indonesia, semakin, maju, hasil, melimpah, dg, cara, irigasi, tetes, bisa, menghemat, air, dan, tenaga","semoga, petani, indonesia, maju, hasil, melimpah, dg, irigasi, tetes, menghemat, air, tenaga","moga, tani, indonesia, maju, hasil, limpah, dg, irigasi, tetes, hemat, air, tenaga","efisiensi air irigasi, teknologi irigasi modern"
