video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
Z3QfdLBjRWk,@wawangebot7988,pak kalo pupuk tabur dan semprot untuk jahe emprit dari awal tanam sampai panen biar hasilnya maksimal apa ya pak,0,2025-12-08T13:05:06Z,pemupukan,2025,pak kalo pupuk tabur dan semprot untuk jahe emprit dari awal tanam sampai panen biar hasilnya maksimal apa ya pak,"pak, kalo, pupuk, tabur, dan, semprot, untuk, jahe, emprit, dari, awal, tanam, sampai, panen, biar, hasilnya, maksimal, apa, ya, pak","kalo, pupuk, tabur, semprot, jahe, emprit, tanam, panen, biar, hasilnya, maksimal, ya","kalo, pupuk, tabur, semprot, jahe, emprit, tanam, panen, biar, hasil, maksimal, ya","dosis dan waktu pupuk, efisiensi penggunaan pupuk"
Z3QfdLBjRWk,@Marniati-n9z,marniati ppkh b tujuan penyuluhan yaitu meningkatkan kapasitas petani dalam memahami konsep pemupukan dan praktik pemupukan yang tepat agar produktivitas tanaman optimal dan keberlanjutan lahan terjaga,0,2025-09-25T12:42:56Z,pemupukan,2025,marniati ppkh b tujuan penyuluhan yaitu meningkatkan kapasitas petani dalam memahami konsep pemupukan dan praktik pemupukan yang tepat agar produktivitas tanaman optimal dan keberlanjutan lahan terjaga,"marniati, ppkh, b, tujuan, penyuluhan, yaitu, meningkatkan, kapasitas, petani, dalam, memahami, konsep, pemupukan, dan, praktik, pemupukan, yang, tepat, agar, produktivitas, tanaman, optimal, dan, keberlanjutan, lahan, terjaga","marniati, ppkh, b, tujuan, penyuluhan, meningkatkan, kapasitas, petani, memahami, konsep, pemupukan, praktik, pemupukan, produktivitas, tanaman, optimal, keberlanjutan, lahan, terjaga","marniati, ppkh, b, tuju, suluh, tingkat, kapasitas, tani, paham, konsep, pupu, praktik, pupu, produktivitas, tanam, optimal, lanjut, lahan, jaga",efisiensi penggunaan pupuk
Z3QfdLBjRWk,@ureshiidesu537,mau tanya bapak sekarang susah u mendapatkan pupuk subsidi pupuk apa yg sebaiknya saya gunakan sebagai gantinya pupuk non subsidi yg bisa di aplikasikan pada tanaman singkong racun dan dosis per hektarnya,1,2021-03-19T14:00:00Z,pemupukan,2021,mau tanya bapak sekarang susah u mendapatkan pupuk subsidi pupuk apa yg sebaiknya saya gunakan sebagai gantinya pupuk non subsidi yg bisa di aplikasikan pada tanaman singkong racun dan dosis per hektarnya,"mau, tanya, bapak, sekarang, susah, u, mendapatkan, pupuk, subsidi, pupuk, apa, yg, sebaiknya, saya, gunakan, sebagai, gantinya, pupuk, non, subsidi, yg, bisa, di, aplikasikan, pada, tanaman, singkong, racun, dan, dosis, per, hektarnya","susah, u, pupuk, subsidi, pupuk, yg, gantinya, pupuk, non, subsidi, yg, aplikasikan, tanaman, singkong, racun, dosis, hektarnya","susah, u, pupuk, subsidi, pupuk, yg, ganti, pupuk, non, subsidi, yg, aplikasi, tanam, singkong, racun, dosis, hektar","dosis dan waktu pupuk, efisiensi penggunaan pupuk"
Z3QfdLBjRWk,@ADSYouTube1,dari pada di buang lebih baik diberikan kepada orang yg ada disekeliling kita,0,2021-03-14T12:16:43Z,pemupukan,2021,dari pada di buang lebih baik diberikan kepada orang yg ada disekeliling kita,"dari, pada, di, buang, lebih, baik, diberikan, kepada, orang, yg, ada, disekeliling, kita","buang, orang, yg, disekeliling","buang, orang, yg, keliling",efisiensi penggunaan pupuk
Z3QfdLBjRWk,@buayadarat7380,pak apakah pemberian insektisida pada biji tanaman biji jagung dapat mempengaruhi tumbuhnya dan bagaimna untuk memaksimalkan perkecambahn jagung dalam tanah agar lebih maksimal dan cara mengatasi hama jagung sejak dini,1,2021-02-22T13:02:08Z,pemupukan,2021,pak apakah pemberian insektisida pada biji tanaman biji jagung dapat mempengaruhi tumbuhnya dan bagaimna untuk memaksimalkan perkecambahn jagung dalam tanah agar lebih maksimal dan cara mengatasi hama jagung sejak dini,"pak, apakah, pemberian, insektisida, pada, biji, tanaman, biji, jagung, dapat, mempengaruhi, tumbuhnya, dan, bagaimna, untuk, memaksimalkan, perkecambahn, jagung, dalam, tanah, agar, lebih, maksimal, dan, cara, mengatasi, hama, jagung, sejak, dini","pemberian, insektisida, biji, tanaman, biji, jagung, mempengaruhi, tumbuhnya, bagaimna, memaksimalkan, perkecambahn, jagung, tanah, maksimal, mengatasi, hama, jagung","beri, insektisida, biji, tanam, biji, jagung, pengaruh, tumbuh, bagaimna, maksimal, perkecambahn, jagung, tanah, maksimal, atas, hama, jagung",efisiensi penggunaan pupuk
Z3QfdLBjRWk,@bagussantoso9131,apakah ada batasan usia maksimal pemberian pupuk pada cabai,1,2020-12-26T02:00:49Z,pemupukan,2020,apakah ada batasan usia maksimal pemberian pupuk pada cabai,"apakah, ada, batasan, usia, maksimal, pemberian, pupuk, pada, cabai","batasan, usia, maksimal, pemberian, pupuk, cabai","batas, usia, maksimal, beri, pupuk, cabai","dosis dan waktu pupuk, efisiensi penggunaan pupuk"
Z3QfdLBjRWk,@thebeginnercreator8135,slamat siang pak tolong buatin pupuk pengolahan tanah dasar yg efisien tapi bagus kolplit sampai panen trimakasih,1,2020-11-21T05:18:51Z,pemupukan,2020,slamat siang pak tolong buatin pupuk pengolahan tanah dasar yg efisien tapi bagus kolplit sampai panen trimakasih,"slamat, siang, pak, tolong, buatin, pupuk, pengolahan, tanah, dasar, yg, efisien, tapi, bagus, kolplit, sampai, panen, trimakasih","slamat, siang, tolong, buatin, pupuk, pengolahan, tanah, dasar, yg, efisien, bagus, kolplit, panen, trimakasih","slamat, siang, tolong, buatin, pupuk, olah, tanah, dasar, yg, efisien, bagus, kolplit, panen, trimakasih","dosis dan waktu pupuk, efisiensi penggunaan pupuk"
Z3QfdLBjRWk,@sandirahasia8665,pak mau nanyak apa iy pupuk kimia yg hrgany murah bisa buat tnm masam sedangkan pupuk kno ngk,1,2020-11-16T11:28:49Z,pemupukan,2020,pak mau nanyak apa iy pupuk kimia yg hrgany murah bisa buat tnm masam sedangkan pupuk kno ngk,"pak, mau, nanyak, apa, iy, pupuk, kimia, yg, hrgany, murah, bisa, buat, tnm, masam, sedangkan, pupuk, kno, ngk","nanyak, iy, pupuk, kimia, yg, hrgany, murah, tnm, masam, pupuk, kno, ngk","nanyak, iy, pupuk, kimia, yg, hrgany, murah, tnm, masam, pupuk, kno, k","dosis dan waktu pupuk, efisiensi penggunaan pupuk, konflik pupuk kimia organik"
28Eo_Xm8LYg,@Florynn_ryn,kasih resep buat petani jagung agar bisa menghemat biaya pemakayan pupuk bisa di semprot,1,2024-09-18T04:26:34Z,pemupukan,2024,kasih resep buat petani jagung agar bisa menghemat biaya pemakayan pupuk bisa di semprot,"kasih, resep, buat, petani, jagung, agar, bisa, menghemat, biaya, pemakayan, pupuk, bisa, di, semprot","kasih, resep, petani, jagung, menghemat, biaya, pemakayan, pupuk, semprot","kasih, resep, tani, jagung, hemat, biaya, pemakayan, pupuk, semprot","dosis dan waktu pupuk, efisiensi penggunaan pupuk"
28Eo_Xm8LYg,@adrianmaulana1789,tanya bapak di vidio lain bapak memfermetasi npk phoska dengan em hasilnya lebih bagus di chanel lain juga saya lihat bionuklir yg mencampur poc dengan npk atau urea hasilnya lebih irit mana yang betul,0,2023-08-27T23:28:21Z,pemupukan,2023,tanya bapak di vidio lain bapak memfermetasi npk phoska dengan em hasilnya lebih bagus di chanel lain juga saya lihat bionuklir yg mencampur poc dengan npk atau urea hasilnya lebih irit mana yang betul,"tanya, bapak, di, vidio, lain, bapak, memfermetasi, npk, phoska, dengan, em, hasilnya, lebih, bagus, di, chanel, lain, juga, saya, lihat, bionuklir, yg, mencampur, poc, dengan, npk, atau, urea, hasilnya, lebih, irit, mana, yang, betul","vidio, memfermetasi, npk, phoska, em, hasilnya, bagus, chanel, lihat, bionuklir, yg, mencampur, poc, npk, urea, hasilnya, irit","vidio, memfermetasi, npk, phoska, em, hasil, bagus, chanel, lihat, bionuklir, yg, campur, poc, npk, urea, hasil, irit","efisiensi penggunaan pupuk, konflik pupuk kimia organik"
