video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
YxYvJhEqC98,@rohman304,pak mentan perhatian lagi petani singkong di lampung pengusaha atau pabrik tidak mengindahkan peringatan mentan soal harga singkong penetapan harga pusat dg rp kgdi lapangan sekarang potongan kami petani untuk menghidupi keluarga sangat berat tolong pak tindak tegas pak dan sidak pt tapioka di lampung,0,2025-04-26T00:20:19Z,budidaya organik,2025,pak mentan perhatian lagi petani singkong di lampung pengusaha atau pabrik tidak mengindahkan peringatan mentan soal harga singkong penetapan harga pusat dg rp kgdi lapangan sekarang potongan kami petani untuk menghidupi keluarga sangat berat tolong pak tindak tegas pak dan sidak pt tapioka di lampung,"pak, mentan, perhatian, lagi, petani, singkong, di, lampung, pengusaha, atau, pabrik, tidak, mengindahkan, peringatan, mentan, soal, harga, singkong, penetapan, harga, pusat, dg, rp, kgdi, lapangan, sekarang, potongan, kami, petani, untuk, menghidupi, keluarga, sangat, berat, tolong, pak, tindak, tegas, pak, dan, sidak, pt, tapioka, di, lampung","mentan, perhatian, petani, singkong, lampung, pengusaha, pabrik, mengindahkan, peringatan, mentan, harga, singkong, penetapan, harga, pusat, dg, rp, kgdi, lapangan, potongan, petani, menghidupi, keluarga, berat, tolong, tindak, sidak, pt, tapioka, lampung","tan, perhati, tani, singkong, lampung, usaha, pabrik, indah, ingat, tan, harga, singkong, tetap, harga, pusat, dg, rp, kgdi, lapang, potong, tani, hidup, luarga, berat, tolong, tindak, sidak, pt, tapioka, lampung","harga produk organik, hasil panen organik"
YxYvJhEqC98,@SALSABILANURIZAHRA,saya sangat mendukung petani indonesia untuk beralih ke pertanian organik di masa depan selain hasil panen yang bebas dari residu kimia tanah juga akan menjadi sehat dan subur perlahan tapi pasti ini bisa terwujud petani eropa sudah lama beralih ke metode organik yang beragam untuk menghasilkan produk pertanian yang sehat dan saya yakin indonesia juga bisa melakukannya,2,2024-11-21T14:19:03Z,budidaya organik,2024,saya sangat mendukung petani indonesia untuk beralih ke pertanian organik di masa depan selain hasil panen yang bebas dari residu kimia tanah juga akan menjadi sehat dan subur perlahan tapi pasti ini bisa terwujud petani eropa sudah lama beralih ke metode organik yang beragam untuk menghasilkan produk pertanian yang sehat dan saya yakin indonesia juga bisa melakukannya,"saya, sangat, mendukung, petani, indonesia, untuk, beralih, ke, pertanian, organik, di, masa, depan, selain, hasil, panen, yang, bebas, dari, residu, kimia, tanah, juga, akan, menjadi, sehat, dan, subur, perlahan, tapi, pasti, ini, bisa, terwujud, petani, eropa, sudah, lama, beralih, ke, metode, organik, yang, beragam, untuk, menghasilkan, produk, pertanian, yang, sehat, dan, saya, yakin, indonesia, juga, bisa, melakukannya","mendukung, petani, indonesia, beralih, pertanian, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, perlahan, terwujud, petani, eropa, beralih, metode, organik, beragam, menghasilkan, produk, pertanian, sehat, indonesia, melakukannya","dukung, tani, indonesia, alih, tani, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, perlahan, wujud, tani, eropa, alih, metode, organik, agam, hasil, produk, tani, sehat, indonesia, laku","hasil panen organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@Agribisnisijen,saya ada lahan ha kalau mau dikelola secara organik model begini bisa asal hasil produk pertaniannya bisa terserap bapak,0,2023-11-13T01:30:38Z,budidaya organik,2023,saya ada lahan ha kalau mau dikelola secara organik model begini bisa asal hasil produk pertaniannya bisa terserap bapak,"saya, ada, lahan, ha, kalau, mau, dikelola, secara, organik, model, begini, bisa, asal, hasil, produk, pertaniannya, bisa, terserap, bapak","lahan, ha, dikelola, organik, model, hasil, produk, pertaniannya, terserap","lahan, ha, kelola, organik, model, hasil, produk, tani, serap","hasil panen organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@KICAUANKUTILANG145,bagus kebun nya mas,0,2022-10-29T03:26:21Z,budidaya organik,2022,bagus kebun nya mas,"bagus, kebun, nya, mas","bagus, kebun, nya, mas","bagus, bun, , mas",hasil panen organik
YxYvJhEqC98,@windadwi7926,jika mau indonesia swasembada pangan dan bisa memaksimalkan pengelolaan pertanian di indonesia pemerintah jng hanya bergerak utk mengerakan pertanian dng program wacana saja bukan dengan bantuan ini dan itu yg justru di manfaatkn oleh oknum tak bertangungjawab yg pd akhirnya merugikan negara dan petani asli yang di perlukan sekaligus harapan daripada kendala petani indonesia adl masalah penjualan karna harga yg condong berubah tak stabil dan perubahan tersebut kadang menyebabkan petani bangkrut akibat permainan tengkulak dan oknum pegimpor belajar dr jepang thailand dan vietnam mereka negara kecil dng keterbatasn lahan tp justru bsa menjadi negara lumbung pangan dunia sebab pemerintah yg mengelola dan membeli hasil pertanian dng harga yg di tentukan pemerintah sehingga terhindar drpd permainan harga oleh oknum tengkulak kesediaan stok pun terjaga dng begitu pemerintah juga bsa membatasi oknum pengimpor yg berlebihan yg hany memikirkan perutnya sendiri manfaatkan jaringan koprasi sebagai wadah sekligus pengontrol hasil pertanian tingkatkan fungsi ppl karna jaman sekarang ppl lebih byk duduk di kantor drpd terjun di lapangan gunakan mereka utk bsa mendorong petani dng program pertanian sehat dan modern dengan begitu petani bsa lebih maximal dlm pengelolaan lahan dan harga yg setabil akn menjadikan petani sejahtera dan secara otomatis generasi muda akan berlomba utk bsa menjadi petani hal ini juga bsa menghindarkan dr perubahan fungsi lahan yg seharusnya zona hijau lahan pertanian mlh di ubah menjadi lahan perumahan perkantoran dan perdagangan sebab tdk ada generasi penerus yg tertarik dan mau meneruskan pertanian akibat mainseat pola pikir generasi muda yg berfikir petani di indonesia itu condong bhkn seiring dng kemiskinan hal ini yg menjadi pr skaligus program yg harus di pikir matang oleh pemerintah dan pesan pula utk pemerintah jikalau memang ingin mengerakan petani utk tdk bergantung pd pupuk kimia dan pestisida tolong mudahkan akses petani organik dng menghilangankan sistem sertifikasi yg mahal klo perlu di hapuskan mudahkan akses pemasaran produk pertaniaan organik tnp harus merogoh kocek dalam utk mensertifikati organik yg justru mencekik petani sebab sistem tersebutlah yg membatasi petani utk beralih kepada sistem organik dengan kembaliny pd pertanian organik selain berdampak positif terhadap ekositem cuaca pemanasan global juga dapat mengurangi apbn negara dlm mensubsidi pupuk sehingga angaran tersebut bisa di alihkan utk pembiayaan program study pertanian yg lbh modern dan efisien yg bsa menjadikan indonesia sebagai negara pertaniaan yg maju negara kita negara agraris negara tropis dng lahan pertanian yg luas dan banyak apkah hanya di anjurkan utk pertanian sawit yg di kuasai oligarki atau hrskah petani hanya di anjurkan menanam pisang agar bsa hidup irit dng makan buah pisang setiap hari,0,2022-04-16T14:25:10Z,budidaya organik,2022,jika mau indonesia swasembada pangan dan bisa memaksimalkan pengelolaan pertanian di indonesia pemerintah jng hanya bergerak utk mengerakan pertanian dng program wacana saja bukan dengan bantuan ini dan itu yg justru di manfaatkn oleh oknum tak bertangungjawab yg pd akhirnya merugikan negara dan petani asli yang di perlukan sekaligus harapan daripada kendala petani indonesia adl masalah penjualan karna harga yg condong berubah tak stabil dan perubahan tersebut kadang menyebabkan petani bangkrut akibat permainan tengkulak dan oknum pegimpor belajar dr jepang thailand dan vietnam mereka negara kecil dng keterbatasn lahan tp justru bsa menjadi negara lumbung pangan dunia sebab pemerintah yg mengelola dan membeli hasil pertanian dng harga yg di tentukan pemerintah sehingga terhindar drpd permainan harga oleh oknum tengkulak kesediaan stok pun terjaga dng begitu pemerintah juga bsa membatasi oknum pengimpor yg berlebihan yg hany memikirkan perutnya sendiri manfaatkan jaringan koprasi sebagai wadah sekligus pengontrol hasil pertanian tingkatkan fungsi ppl karna jaman sekarang ppl lebih byk duduk di kantor drpd terjun di lapangan gunakan mereka utk bsa mendorong petani dng program pertanian sehat dan modern dengan begitu petani bsa lebih maximal dlm pengelolaan lahan dan harga yg setabil akn menjadikan petani sejahtera dan secara otomatis generasi muda akan berlomba utk bsa menjadi petani hal ini juga bsa menghindarkan dr perubahan fungsi lahan yg seharusnya zona hijau lahan pertanian mlh di ubah menjadi lahan perumahan perkantoran dan perdagangan sebab tdk ada generasi penerus yg tertarik dan mau meneruskan pertanian akibat mainseat pola pikir generasi muda yg berfikir petani di indonesia itu condong bhkn seiring dng kemiskinan hal ini yg menjadi pr skaligus program yg harus di pikir matang oleh pemerintah dan pesan pula utk pemerintah jikalau memang ingin mengerakan petani utk tdk bergantung pd pupuk kimia dan pestisida tolong mudahkan akses petani organik dng menghilangankan sistem sertifikasi yg mahal klo perlu di hapuskan mudahkan akses pemasaran produk pertaniaan organik tnp harus merogoh kocek dalam utk mensertifikati organik yg justru mencekik petani sebab sistem tersebutlah yg membatasi petani utk beralih kepada sistem organik dengan kembaliny pd pertanian organik selain berdampak positif terhadap ekositem cuaca pemanasan global juga dapat mengurangi apbn negara dlm mensubsidi pupuk sehingga angaran tersebut bisa di alihkan utk pembiayaan program study pertanian yg lbh modern dan efisien yg bsa menjadikan indonesia sebagai negara pertaniaan yg maju negara kita negara agraris negara tropis dng lahan pertanian yg luas dan banyak apkah hanya di anjurkan utk pertanian sawit yg di kuasai oligarki atau hrskah petani hanya di anjurkan menanam pisang agar bsa hidup irit dng makan buah pisang setiap hari,"jika, mau, indonesia, swasembada, pangan, dan, bisa, memaksimalkan, pengelolaan, pertanian, di, indonesia, pemerintah, jng, hanya, bergerak, utk, mengerakan, pertanian, dng, program, wacana, saja, bukan, dengan, bantuan, ini, dan, itu, yg, justru, di, manfaatkn, oleh, oknum, tak, bertangungjawab, yg, pd, akhirnya, merugikan, negara, dan, petani, asli, yang, di, perlukan, sekaligus, harapan, daripada, kendala, petani, indonesia, adl, masalah, penjualan, karna, harga, yg, condong, berubah, tak, stabil, dan, perubahan, tersebut, kadang, menyebabkan, petani, bangkrut, akibat, permainan, tengkulak, dan, oknum, pegimpor, belajar, dr, jepang, thailand, dan, vietnam, mereka, negara, kecil, dng, keterbatasn, lahan, tp, justru, bsa, menjadi, negara, lumbung, pangan, dunia, sebab, pemerintah, yg, mengelola, dan, membeli, hasil, pertanian, dng, harga, yg, di, tentukan, pemerintah, sehingga, terhindar, drpd, permainan, harga, oleh, oknum, tengkulak, kesediaan, stok, pun, terjaga, dng, begitu, pemerintah, juga, bsa, membatasi, oknum, pengimpor, yg, berlebihan, yg, hany, memikirkan, perutnya, sendiri, manfaatkan, jaringan, koprasi, sebagai, wadah, sekligus, pengontrol, hasil, pertanian, tingkatkan, fungsi, ppl, karna, jaman, sekarang, ppl, lebih, byk, duduk, di, kantor, drpd, terjun, di, lapangan, gunakan, mereka, utk, bsa, mendorong, petani, dng, program, pertanian, sehat, dan, modern, dengan, begitu, petani, bsa, lebih, maximal, dlm, pengelolaan, lahan, dan, harga, yg, setabil, akn, menjadikan, petani, sejahtera, dan, secara, otomatis, generasi, muda, akan, berlomba, utk, bsa, menjadi, petani, hal, ini, juga, bsa, menghindarkan, dr, perubahan, fungsi, lahan, yg, seharusnya, zona, hijau, lahan, pertanian, mlh, di, ubah, menjadi, lahan, perumahan, perkantoran, dan, perdagangan, sebab, tdk, ada, generasi, penerus, yg, tertarik, dan, mau, meneruskan, pertanian, akibat, mainseat, pola, pikir, generasi, muda, yg, berfikir, petani, di, indonesia, itu, condong, bhkn, seiring, dng, kemiskinan, hal, ini, yg, menjadi, pr, skaligus, program, yg, harus, di, pikir, matang, oleh, pemerintah, dan, pesan, pula, utk, pemerintah, jikalau, memang, ingin, mengerakan, petani, utk, tdk, bergantung, pd, pupuk, kimia, dan, pestisida, tolong, mudahkan, akses, petani, organik, dng, menghilangankan, sistem, sertifikasi, yg, mahal, klo, perlu, di, hapuskan, mudahkan, akses, pemasaran, produk, pertaniaan, organik, tnp, harus, merogoh, kocek, dalam, utk, mensertifikati, organik, yg, justru, mencekik, petani, sebab, sistem, tersebutlah, yg, membatasi, petani, utk, beralih, kepada, sistem, organik, dengan, kembaliny, pd, pertanian, organik, selain, berdampak, positif, terhadap, ekositem, cuaca, pemanasan, global, juga, dapat, mengurangi, apbn, negara, dlm, mensubsidi, pupuk, sehingga, angaran, tersebut, bisa, di, alihkan, utk, pembiayaan, program, study, pertanian, yg, lbh, modern, dan, efisien, yg, bsa, menjadikan, indonesia, sebagai, negara, pertaniaan, yg, maju, negara, kita, negara, agraris, negara, tropis, dng, lahan, pertanian, yg, luas, dan, banyak, apkah, hanya, di, anjurkan, utk, pertanian, sawit, yg, di, kuasai, oligarki, atau, hrskah, petani, hanya, di, anjurkan, menanam, pisang, agar, bsa, hidup, irit, dng, makan, buah, pisang, setiap, hari","indonesia, swasembada, pangan, memaksimalkan, pengelolaan, pertanian, indonesia, pemerintah, jng, bergerak, utk, mengerakan, pertanian, dng, program, wacana, bantuan, yg, manfaatkn, oknum, bertangungjawab, yg, pd, merugikan, negara, petani, asli, perlukan, harapan, kendala, petani, indonesia, adl, penjualan, karna, harga, yg, condong, berubah, stabil, perubahan, kadang, menyebabkan, petani, bangkrut, akibat, permainan, tengkulak, oknum, pegimpor, belajar, dr, jepang, thailand, vietnam, negara, dng, keterbatasn, lahan, tp, bsa, negara, lumbung, pangan, dunia, pemerintah, yg, mengelola, membeli, hasil, pertanian, dng, harga, yg, tentukan, pemerintah, terhindar, drpd, permainan, harga, oknum, tengkulak, kesediaan, stok, terjaga, dng, pemerintah, bsa, membatasi, oknum, pengimpor, yg, yg, hany, memikirkan, perutnya, manfaatkan, jaringan, koprasi, wadah, sekligus, pengontrol, hasil, pertanian, tingkatkan, fungsi, ppl, karna, jaman, ppl, byk, duduk, kantor, drpd, terjun, lapangan, utk, bsa, mendorong, petani, dng, program, pertanian, sehat, modern, petani, bsa, maximal, dlm, pengelolaan, lahan, harga, yg, setabil, akn, menjadikan, petani, sejahtera, otomatis, generasi, muda, berlomba, utk, bsa, petani, bsa, menghindarkan, dr, perubahan, fungsi, lahan, yg, zona, hijau, lahan, pertanian, mlh, ubah, lahan, perumahan, perkantoran, perdagangan, tdk, generasi, penerus, yg, tertarik, meneruskan, pertanian, akibat, mainseat, pola, pikir, generasi, muda, yg, berfikir, petani, indonesia, condong, bhkn, seiring, dng, kemiskinan, yg, pr, skaligus, program, yg, pikir, matang, pemerintah, pesan, utk, pemerintah, mengerakan, petani, utk, tdk, bergantung, pd, pupuk, kimia, pestisida, tolong, mudahkan, akses, petani, organik, dng, menghilangankan, sistem, sertifikasi, yg, mahal, klo, hapuskan, mudahkan, akses, pemasaran, produk, pertaniaan, organik, tnp, merogoh, kocek, utk, mensertifikati, organik, yg, mencekik, petani, sistem, yg, membatasi, petani, utk, beralih, sistem, organik, kembaliny, pd, pertanian, organik, berdampak, positif, ekositem, cuaca, pemanasan, global, mengurangi, apbn, negara, dlm, mensubsidi, pupuk, angaran, alihkan, utk, pembiayaan, program, study, pertanian, yg, lbh, modern, efisien, yg, bsa, menjadikan, indonesia, negara, pertaniaan, yg, maju, negara, negara, agraris, negara, tropis, dng, lahan, pertanian, yg, luas, apkah, anjurkan, utk, pertanian, sawit, yg, kuasai, oligarki, hrskah, petani, anjurkan, menanam, pisang, bsa, hidup, irit, dng, makan, buah, pisang","indonesia, swasembada, pangan, maksimal, kelola, tani, indonesia, perintah, jng, gerak, utk, era, tani, dng, program, wacana, bantu, yg, manfaatkn, oknum, bertangungjawab, yg, pd, rugi, negara, tani, asli, perlu, harap, ndala, tani, indonesia, adl, jual, karna, harga, yg, condong, ubah, stabil, ubah, kadang, sebab, tani, bangkrut, akibat, main, tengkulak, oknum, pegimpor, ajar, dr, jepang, thailand, vietnam, negara, dng, terbatasn, lahan, tp, bsa, negara, lumbung, pangan, dunia, perintah, yg, elola, beli, hasil, tani, dng, harga, yg, tentu, perintah, hindar, drpd, main, harga, oknum, tengkulak, sedia, stok, jaga, dng, perintah, bsa, batas, oknum, impor, yg, yg, hany, pikir, perut, manfaat, jaring, koprasi, wadah, sekligus, kontrol, hasil, tani, tingkat, fungsi, ppl, karna, jaman, ppl, byk, duduk, kantor, drpd, terjun, lapang, utk, bsa, dorong, tani, dng, program, tani, sehat, modern, tani, bsa, maximal, dlm, kelola, lahan, harga, yg, setabil, akn, jadi, tani, sejahtera, otomatis, generasi, muda, lomba, utk, bsa, tani, bsa, hindar, dr, ubah, fungsi, lahan, yg, zona, hijau, lahan, tani, mlh, ubah, lahan, rumah, kantor, dagang, tdk, generasi, terus, yg, tarik, terus, tani, akibat, mainseat, pola, pikir, generasi, muda, yg, berfikir, tani, indonesia, condong, bhkn, iring, dng, miskin, yg, pr, skaligus, program, yg, pikir, matang, perintah, pesan, utk, perintah, era, tani, utk, tdk, gantung, pd, pupuk, kimia, pestisida, tolong, mudah, akses, tani, organik, dng, hilangankan, sistem, sertifikasi, yg, mahal, klo, hapus, mudah, akses, pasar, produk, tania, organik, tnp, rogoh, kocek, utk, sertifikat, organik, yg, cekik, tani, sistem, yg, batas, tani, utk, alih, sistem, organik, mbaliny, pd, tani, organik, dampak, positif, ekositem, cuaca, panas, global, urangi, apbn, negara, dlm, subsidi, pupuk, angaran, alih, utk, biaya, program, study, tani, yg, lbh, modern, efisien, yg, bsa, jadi, indonesia, negara, tania, yg, maju, negara, negara, agraris, negara, tropis, dng, lahan, tani, yg, luas, apkah, anjur, utk, tani, sawit, yg, kuasa, oligarki, hrskah, tani, anjur, tanam, pisang, bsa, hidup, irit, dng, makan, buah, pisang","harga produk organik, hasil panen organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@supreyetno9363,saya bagus sekali program pertanian organik bisa minta no telp mau bermitra di banten mksh,0,2022-03-16T10:13:26Z,budidaya organik,2022,saya bagus sekali program pertanian organik bisa minta no telp mau bermitra di banten mksh,"saya, bagus, sekali, program, pertanian, organik, bisa, minta, no, telp, mau, bermitra, di, banten, mksh","bagus, program, pertanian, organik, no, telp, bermitra, banten, mksh","bagus, program, tani, organik, no, telp, mitra, banten, mksh","hasil panen organik, kepercayaan produk organik"
YxYvJhEqC98,@yusniabadi1715,bagus seksi untuk bermitra bgmana caranya agar ketemu solusi pemasarannya trimakadih,0,2022-02-06T10:57:40Z,budidaya organik,2022,bagus seksi untuk bermitra bgmana caranya agar ketemu solusi pemasarannya trimakadih,"bagus, seksi, untuk, bermitra, bgmana, caranya, agar, ketemu, solusi, pemasarannya, trimakadih","bagus, seksi, bermitra, bgmana, ketemu, solusi, pemasarannya, trimakadih","bagus, seksi, mitra, bgmana, temu, solusi, pasar, trimakadih",hasil panen organik
YxYvJhEqC98,@tamibo1,panen rambutan tanpa pupuk kimiahttps youtu be re yfxoscf,0,2022-01-28T04:58:50Z,budidaya organik,2022,panen rambutan tanpa pupuk kimiahttps youtu be re yfxoscf,"panen, rambutan, tanpa, pupuk, kimiahttps, youtu, be, re, yfxoscf","panen, rambutan, pupuk, kimiahttps, youtu, be, re, yfxoscf","panen, rambutan, pupuk, kimiahttps, youtu, be, re, yfxoscf",hasil panen organik
YxYvJhEqC98,@Sahabattanamchannel,saya sangat mendukung sekali petani indonesia masa depan akan beralih organik selain hasil panen bebas residu kimia dan juga tanah menjadi sehat dan subur pelan pelan tapi pasti petani eropa sudah jauh jauh hari sudah beralih ke organik dengan metode bermacam macam sehingga menghasilkan produk pertanian yg sehat indonesia juga pasti bisa,0,2022-01-01T11:57:23Z,budidaya organik,2022,saya sangat mendukung sekali petani indonesia masa depan akan beralih organik selain hasil panen bebas residu kimia dan juga tanah menjadi sehat dan subur pelan pelan tapi pasti petani eropa sudah jauh jauh hari sudah beralih ke organik dengan metode bermacam macam sehingga menghasilkan produk pertanian yg sehat indonesia juga pasti bisa,"saya, sangat, mendukung, sekali, petani, indonesia, masa, depan, akan, beralih, organik, selain, hasil, panen, bebas, residu, kimia, dan, juga, tanah, menjadi, sehat, dan, subur, pelan, pelan, tapi, pasti, petani, eropa, sudah, jauh, jauh, hari, sudah, beralih, ke, organik, dengan, metode, bermacam, macam, sehingga, menghasilkan, produk, pertanian, yg, sehat, indonesia, juga, pasti, bisa","mendukung, petani, indonesia, beralih, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, pelan, pelan, petani, eropa, beralih, organik, metode, menghasilkan, produk, pertanian, yg, sehat, indonesia","dukung, tani, indonesia, alih, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, pelan, pelan, tani, eropa, alih, organik, metode, hasil, produk, tani, yg, sehat, indonesia","hasil panen organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@goaratu8750,ditempatku rata rata masyarakatnya tidak memakai pupuk apa apa tapi mengapa hasil pertanian yang dijual sangat murah seperti kopi lada jahe dan kayu manis dll,0,2021-12-28T06:21:27Z,budidaya organik,2021,ditempatku rata rata masyarakatnya tidak memakai pupuk apa apa tapi mengapa hasil pertanian yang dijual sangat murah seperti kopi lada jahe dan kayu manis dll,"ditempatku, rata, rata, masyarakatnya, tidak, memakai, pupuk, apa, apa, tapi, mengapa, hasil, pertanian, yang, dijual, sangat, murah, seperti, kopi, lada, jahe, dan, kayu, manis, dll","ditempatku, masyarakatnya, memakai, pupuk, hasil, pertanian, dijual, murah, kopi, lada, jahe, kayu, manis, dll","tempat, masyarakat, pakai, pupuk, hasil, tani, jual, murah, kopi, lada, jahe, kayu, manis, dll","harga produk organik, hasil panen organik"
