video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
kS16kRKYJGg,@AGfarm-fx2mt,bang sy liat tidak ada penggunaan filter untuk airnya apakah aman tidak menyumbat di selang dripnya,0,2025-06-08T14:57:07Z,irigasi,2025,bang sy liat tidak ada penggunaan filter untuk airnya apakah aman tidak menyumbat di selang dripnya,"bang, sy, liat, tidak, ada, penggunaan, filter, untuk, airnya, apakah, aman, tidak, menyumbat, di, selang, dripnya","bang, sy, liat, penggunaan, filter, airnya, aman, menyumbat, selang, dripnya","bang, sy, liat, guna, filter, air, aman, sumbat, selang, drip",keandalan sistem irigasi
kS16kRKYJGg,@dendy646,pemupukan npk dilarutkan kemudian diinjek melalui venturi ke sistem drip tetes apa tidak menyebabkan tersumbat mampet lubang drip di selangnya bang kalau memang mampet bagaimana perawatan maintenance selangnya thanks,0,2024-12-16T14:11:19Z,irigasi,2024,pemupukan npk dilarutkan kemudian diinjek melalui venturi ke sistem drip tetes apa tidak menyebabkan tersumbat mampet lubang drip di selangnya bang kalau memang mampet bagaimana perawatan maintenance selangnya thanks,"pemupukan, npk, dilarutkan, kemudian, diinjek, melalui, venturi, ke, sistem, drip, tetes, apa, tidak, menyebabkan, tersumbat, mampet, lubang, drip, di, selangnya, bang, kalau, memang, mampet, bagaimana, perawatan, maintenance, selangnya, thanks","pemupukan, npk, dilarutkan, diinjek, venturi, sistem, drip, tetes, menyebabkan, tersumbat, mampet, lubang, drip, selangnya, bang, mampet, perawatan, maintenance, selangnya, thanks","pupu, npk, larut, injek, venturi, sistem, drip, tetes, sebab, sumbat, mampet, lubang, drip, selang, bang, mampet, awat, maintenance, selang, thanks","biaya infrastruktur irigasi, keandalan sistem irigasi, teknologi irigasi modern"
kS16kRKYJGg,@DanielBlancart,bonito v deo pero no tiene mucho sentido el elevar caballones y usar riego por goteo lo normal ser a plantar en plano o usar riego por inundaci n si usas caballones lo comento como agricultor profesional saludos,0,2023-10-21T16:15:10Z,irigasi,2023,bonito v deo pero no tiene mucho sentido el elevar caballones y usar riego por goteo lo normal ser a plantar en plano o usar riego por inundaci n si usas caballones lo comento como agricultor profesional saludos,"bonito, v, deo, pero, no, tiene, mucho, sentido, el, elevar, caballones, y, usar, riego, por, goteo, lo, normal, ser, a, plantar, en, plano, o, usar, riego, por, inundaci, n, si, usas, caballones, lo, comento, como, agricultor, profesional, saludos","bonito, v, deo, pero, no, tiene, mucho, sentido, el, elevar, caballones, y, usar, riego, por, goteo, lo, normal, ser, a, plantar, en, plano, o, usar, riego, por, inundaci, n, si, usas, caballones, lo, comento, como, agricultor, profesional, saludos","bonito, v, deo, pero, no, tiene, mucho, sentido, el, elevar, caballones, y, usar, riego, por, goteo, lo, normal, ser, a, plantar, en, plano, o, usar, riego, por, inundaci, n, si, usas, caballones, lo, comento, como, agricultor, profesional, saludos",keandalan sistem irigasi
kS16kRKYJGg,@rifunja4933,bang kalau kita pake teknik iniapa airnya harus jalan jam atah hanya beberap jam saja,1,2023-10-03T06:08:26Z,irigasi,2023,bang kalau kita pake teknik iniapa airnya harus jalan jam atah hanya beberap jam saja,"bang, kalau, kita, pake, teknik, iniapa, airnya, harus, jalan, jam, atah, hanya, beberap, jam, saja","bang, pake, teknik, iniapa, airnya, jalan, jam, atah, beberap, jam","bang, pake, teknik, iniapa, air, jalan, jam, atah, beberap, jam",keandalan sistem irigasi
kS16kRKYJGg,@antonmenanam,sukses tanam tomat dan pakcoy dengan irigasi tetes yg berfungsi baik salam,1,2023-08-27T03:41:22Z,irigasi,2023,sukses tanam tomat dan pakcoy dengan irigasi tetes yg berfungsi baik salam,"sukses, tanam, tomat, dan, pakcoy, dengan, irigasi, tetes, yg, berfungsi, baik, salam","sukses, tanam, tomat, pakcoy, irigasi, tetes, yg, berfungsi, salam","sukses, tanam, tomat, pakcoy, irigasi, tetes, yg, fungsi, salam","efisiensi air irigasi, keandalan sistem irigasi, teknologi irigasi modern"
CKlWtn_c7Es,@SugiOno-b6u,klw selang drip nya ukuran selang piping sebaiknya ukuran diameter berapa mm biar airnya lancar mhn petunjuknya,0,2023-07-02T16:05:09Z,irigasi,2023,klw selang drip nya ukuran selang piping sebaiknya ukuran diameter berapa mm biar airnya lancar mhn petunjuknya,"klw, selang, drip, nya, ukuran, selang, piping, sebaiknya, ukuran, diameter, berapa, mm, biar, airnya, lancar, mhn, petunjuknya","klw, selang, drip, nya, ukuran, selang, piping, ukuran, diameter, mm, biar, airnya, lancar, mhn, petunjuknya","klw, selang, drip, , ukur, selang, piping, ukur, ameter, mm, biar, air, lancar, mhn, tunjuk","keandalan sistem irigasi, teknologi irigasi modern"
CKlWtn_c7Es,@zarzanata1471,apakah gampang tersumbat mas di selang piping nya,0,2023-01-21T11:30:13Z,irigasi,2023,apakah gampang tersumbat mas di selang piping nya,"apakah, gampang, tersumbat, mas, di, selang, piping, nya","gampang, tersumbat, mas, selang, piping, nya","gampang, sumbat, mas, selang, piping, ",keandalan sistem irigasi
59vXGu65IS4,@kepinpadilah8656,apakah pupuk kohe musang itu aman secara hewan omnivora apa mungkin mengandung parasit atau virus dan juga apakah bagus untuk tanaman,0,2023-09-05T04:36:00Z,irigasi,2023,apakah pupuk kohe musang itu aman secara hewan omnivora apa mungkin mengandung parasit atau virus dan juga apakah bagus untuk tanaman,"apakah, pupuk, kohe, musang, itu, aman, secara, hewan, omnivora, apa, mungkin, mengandung, parasit, atau, virus, dan, juga, apakah, bagus, untuk, tanaman","pupuk, kohe, musang, aman, hewan, omnivora, mengandung, parasit, virus, bagus, tanaman","pupuk, kohe, musang, aman, hewan, omnivora, andung, parasit, virus, bagus, tanam",keandalan sistem irigasi
59vXGu65IS4,@alanwiyono3969,pak saya alan dari kab maluku tenggara saya mau mengunakan mikoriza granule dan trikoderma bubuk secara bersamaan dalam media polibek yg mau saya tanam bibit durian dan kelengkeng klo saya aplikasikan bersamaan mengikuti dosis apakah nanti mikorizanya mati atau apakah nanti muncul tanaman saya bermasalah,0,2023-09-04T16:25:10Z,irigasi,2023,pak saya alan dari kab maluku tenggara saya mau mengunakan mikoriza granule dan trikoderma bubuk secara bersamaan dalam media polibek yg mau saya tanam bibit durian dan kelengkeng klo saya aplikasikan bersamaan mengikuti dosis apakah nanti mikorizanya mati atau apakah nanti muncul tanaman saya bermasalah,"pak, saya, alan, dari, kab, maluku, tenggara, saya, mau, mengunakan, mikoriza, granule, dan, trikoderma, bubuk, secara, bersamaan, dalam, media, polibek, yg, mau, saya, tanam, bibit, durian, dan, kelengkeng, klo, saya, aplikasikan, bersamaan, mengikuti, dosis, apakah, nanti, mikorizanya, mati, atau, apakah, nanti, muncul, tanaman, saya, bermasalah","alan, kab, maluku, tenggara, mengunakan, mikoriza, granule, trikoderma, bubuk, bersamaan, media, polibek, yg, tanam, bibit, durian, kelengkeng, klo, aplikasikan, bersamaan, mengikuti, dosis, mikorizanya, mati, muncul, tanaman, bermasalah","alan, kab, malu, tenggara, unakan, mikoriza, granule, trikoderma, bubuk, sama, media, polibek, yg, tanam, bibit, durian, lengkeng, klo, aplikasi, sama, ikut, dosis, mikoriza, mati, muncul, tanam, masalah",keandalan sistem irigasi
59vXGu65IS4,@teknotunerhsofficial865,assalamualaikum wr wb pak rizal pak saya mau bertanya kalau rumpas dicampur dengan poc apakah mikro organisme yg terkangdung dalam poc akan mati mohon penjelasannya pak,0,2023-09-03T12:31:30Z,irigasi,2023,assalamualaikum wr wb pak rizal pak saya mau bertanya kalau rumpas dicampur dengan poc apakah mikro organisme yg terkangdung dalam poc akan mati mohon penjelasannya pak,"assalamualaikum, wr, wb, pak, rizal, pak, saya, mau, bertanya, kalau, rumpas, dicampur, dengan, poc, apakah, mikro, organisme, yg, terkangdung, dalam, poc, akan, mati, mohon, penjelasannya, pak","assalamualaikum, wr, wb, rizal, rumpas, dicampur, poc, mikro, organisme, yg, terkangdung, poc, mati, mohon, penjelasannya","assalamualaikum, wr, wb, rizal, rumpas, campur, poc, mikro, organisme, yg, terkangdung, poc, mati, mohon, jelas",keandalan sistem irigasi
59vXGu65IS4,@ahmadmiftahulminan3556,mau tanya pak dirumah saya punya kebun mawar yang tempat agak jauh dari rumah saya kepingin buat sistem pengairan tetes kira selang yang digunakan lebik baik mana ya antara selang lldpe sama pvc ini mengingat bunga mawar iku kan banyak durinya sehingga perlu selang yang kuat agar tidak bocor terkena durinya,0,2023-09-02T12:42:51Z,irigasi,2023,mau tanya pak dirumah saya punya kebun mawar yang tempat agak jauh dari rumah saya kepingin buat sistem pengairan tetes kira selang yang digunakan lebik baik mana ya antara selang lldpe sama pvc ini mengingat bunga mawar iku kan banyak durinya sehingga perlu selang yang kuat agar tidak bocor terkena durinya,"mau, tanya, pak, dirumah, saya, punya, kebun, mawar, yang, tempat, agak, jauh, dari, rumah, saya, kepingin, buat, sistem, pengairan, tetes, kira, selang, yang, digunakan, lebik, baik, mana, ya, antara, selang, lldpe, sama, pvc, ini, mengingat, bunga, mawar, iku, kan, banyak, durinya, sehingga, perlu, selang, yang, kuat, agar, tidak, bocor, terkena, durinya","dirumah, kebun, mawar, rumah, kepingin, sistem, pengairan, tetes, selang, lebik, ya, selang, lldpe, pvc, bunga, mawar, iku, durinya, selang, kuat, bocor, terkena, durinya","rumah, bun, mawar, rumah, pingin, sistem, air, tetes, selang, lebik, ya, selang, lldpe, pvc, bunga, mawar, iku, duri, selang, kuat, bocor, kena, duri","efisiensi air irigasi, keandalan sistem irigasi, teknologi irigasi modern"
59vXGu65IS4,@KOMUNITASMANCINGBANJARSARI,pak mau tanya saya nanam terong dan cabe m kalau ngebasmi hama pake pogging dg racun solar aman gak mau nyoba tapi takut auto mati pohon nya,1,2023-09-02T12:10:25Z,irigasi,2023,pak mau tanya saya nanam terong dan cabe m kalau ngebasmi hama pake pogging dg racun solar aman gak mau nyoba tapi takut auto mati pohon nya,"pak, mau, tanya, saya, nanam, terong, dan, cabe, m, kalau, ngebasmi, hama, pake, pogging, dg, racun, solar, aman, gak, mau, nyoba, tapi, takut, auto, mati, pohon, nya","nanam, terong, cabe, m, ngebasmi, hama, pake, pogging, dg, racun, solar, aman, gak, nyoba, takut, auto, mati, pohon, nya","nanam, terong, cabe, m, ebasmi, hama, pake, pogging, dg, racun, solar, aman, gak, nyoba, takut, auto, mati, pohon, ","biaya infrastruktur irigasi, keandalan sistem irigasi"
59vXGu65IS4,@PPCJI,klo selang drip tersumbat solusix gmn maseeeee,0,2023-09-02T11:16:00Z,irigasi,2023,klo selang drip tersumbat solusix gmn maseeeee,"klo, selang, drip, tersumbat, solusix, gmn, maseeeee","klo, selang, drip, tersumbat, solusix, gmn, maseeeee","klo, selang, drip, sumbat, solusix, gmn, maseeeee","keandalan sistem irigasi, teknologi irigasi modern"
59vXGu65IS4,@petanimuda9237,pengen nonton tapi malah di klik gak jalan jangan di bikin gini dong pak gak asik langsung di vidio saja,1,2023-09-02T06:48:47Z,irigasi,2023,pengen nonton tapi malah di klik gak jalan jangan di bikin gini dong pak gak asik langsung di vidio saja,"pengen, nonton, tapi, malah, di, klik, gak, jalan, jangan, di, bikin, gini, dong, pak, gak, asik, langsung, di, vidio, saja","pengen, nonton, klik, gak, jalan, bikin, gini, gak, asik, langsung, vidio","ken, nonton, klik, gak, jalan, bikin, gin, gak, asik, langsung, vidio",keandalan sistem irigasi
AQLcjhHQBC0,@bionusantara-up2ft,liat aj jalan item putih it kas indonesia ad mobil kijang,0,2024-05-08T09:52:08Z,irigasi,2024,liat aj jalan item putih it kas indonesia ad mobil kijang,"liat, aj, jalan, item, putih, it, kas, indonesia, ad, mobil, kijang","liat, aj, jalan, item, putih, it, kas, indonesia, ad, mobil, kijang","liat, aj, jalan, item, putih, it, kas, indonesia, ad, mobil, kijang",keandalan sistem irigasi
AQLcjhHQBC0,@FahmiAim,harus diajak jalan ke danau singkarak nih,1,2024-04-26T12:48:58Z,irigasi,2024,harus diajak jalan ke danau singkarak nih,"harus, diajak, jalan, ke, danau, singkarak, nih","diajak, jalan, danau, singkarak, nih","ajak, jalan, danau, singkarak, nih",keandalan sistem irigasi
AQLcjhHQBC0,@sikucing3459,jangan di terapkan di indonesia yaapalagi dekat dengan jalan rayabanyak maling mengintai,0,2024-03-21T06:01:57Z,irigasi,2024,jangan di terapkan di indonesia yaapalagi dekat dengan jalan rayabanyak maling mengintai,"jangan, di, terapkan, di, indonesia, yaapalagi, dekat, dengan, jalan, rayabanyak, maling, mengintai","terapkan, indonesia, yaapalagi, jalan, rayabanyak, maling, mengintai","terap, indonesia, yaapalagi, jalan, rayabanyak, maling, intai",keandalan sistem irigasi
AQLcjhHQBC0,@wildanakhmadmuzakir1084,itu mobil yg di parkir di pinggir jalan plat indonesia lol,1,2024-03-20T05:40:57Z,irigasi,2024,itu mobil yg di parkir di pinggir jalan plat indonesia lol,"itu, mobil, yg, di, parkir, di, pinggir, jalan, plat, indonesia, lol","mobil, yg, parkir, pinggir, jalan, plat, indonesia, lol","mobil, yg, parkir, pinggir, jalan, plat, indonesia, lol",keandalan sistem irigasi
AQLcjhHQBC0,@fajarnugrohonugroho5103,kalo di indonesia ngk sampai sejam udah macet karena tersangkut sampah,1,2024-03-17T11:06:57Z,irigasi,2024,kalo di indonesia ngk sampai sejam udah macet karena tersangkut sampah,"kalo, di, indonesia, ngk, sampai, sejam, udah, macet, karena, tersangkut, sampah","kalo, indonesia, ngk, sejam, udah, macet, tersangkut, sampah","kalo, indonesia, k, jam, udah, macet, sangkut, sampah",keandalan sistem irigasi
AQLcjhHQBC0,@davidchand4205,di lihat dr bentuk motor sm mobil ny sm plat mobil ny sprti di indonesia ini sama satu lg setau saya china gk ada rambu cat hitam putih sprti di marka jalan sprti itu ada tp cm di bbrpa tmpt aj,1,2024-03-16T02:30:22Z,irigasi,2024,di lihat dr bentuk motor sm mobil ny sm plat mobil ny sprti di indonesia ini sama satu lg setau saya china gk ada rambu cat hitam putih sprti di marka jalan sprti itu ada tp cm di bbrpa tmpt aj,"di, lihat, dr, bentuk, motor, sm, mobil, ny, sm, plat, mobil, ny, sprti, di, indonesia, ini, sama, satu, lg, setau, saya, china, gk, ada, rambu, cat, hitam, putih, sprti, di, marka, jalan, sprti, itu, ada, tp, cm, di, bbrpa, tmpt, aj","lihat, dr, bentuk, motor, sm, mobil, ny, sm, plat, mobil, ny, sprti, indonesia, lg, setau, china, gk, rambu, cat, hitam, putih, sprti, marka, jalan, sprti, tp, cm, bbrpa, tmpt, aj","lihat, dr, bentuk, motor, sm, mobil, ny, sm, plat, mobil, ny, sprti, indonesia, lg, tau, china, gk, rambu, cat, hitam, putih, sprti, marka, jalan, sprti, tp, cm, bbrpa, tmpt, aj",keandalan sistem irigasi
i86gVDwhNzg,@nickohamfiz9930,coba di daerahku jika musim hujan tiba tanpa mulsa langsung kalah sama rumput gak dibedeng mati semua,1,2025-10-08T08:05:33Z,irigasi,2025,coba di daerahku jika musim hujan tiba tanpa mulsa langsung kalah sama rumput gak dibedeng mati semua,"coba, di, daerahku, jika, musim, hujan, tiba, tanpa, mulsa, langsung, kalah, sama, rumput, gak, dibedeng, mati, semua","coba, daerahku, musim, hujan, mulsa, langsung, kalah, rumput, gak, dibedeng, mati","coba, daerah, musim, hujan, mulsa, langsung, kalah, rumput, gak, bedeng, mati",keandalan sistem irigasi
i86gVDwhNzg,@mistiyapro711,tapi disemprot apa sekiranya cabe gak mati rumput mati,4,2025-07-18T12:51:39Z,irigasi,2025,tapi disemprot apa sekiranya cabe gak mati rumput mati,"tapi, disemprot, apa, sekiranya, cabe, gak, mati, rumput, mati","disemprot, cabe, gak, mati, rumput, mati","semprot, cabe, gak, mati, rumput, mati",keandalan sistem irigasi
