video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
YxYvJhEqC98,@herikusuma-gx3kq,salm kenal dri pemula bljr organik dri pemalang moga,0,2025-03-12T15:20:08Z,budidaya organik,2025,salm kenal dri pemula bljr organik dri pemalang moga,"salm, kenal, dri, pemula, bljr, organik, dri, pemalang, moga","salm, kenal, dri, pemula, bljr, organik, dri, pemalang, moga","salm, nal, dri, mula, bljr, organik, dri, malang, moga",kepercayaan produk organik
YxYvJhEqC98,@billclintonsaragih,seharusnya lulusan mahasiswa pertanian terjun kedunia pertanian bertani organik,0,2024-12-02T03:06:27Z,budidaya organik,2024,seharusnya lulusan mahasiswa pertanian terjun kedunia pertanian bertani organik,"seharusnya, lulusan, mahasiswa, pertanian, terjun, kedunia, pertanian, bertani, organik","lulusan, mahasiswa, pertanian, terjun, kedunia, pertanian, bertani, organik","lulus, mahasiswa, tani, terjun, dunia, tani, tan, organik",kepercayaan produk organik
YxYvJhEqC98,@YohanaSitorus-z7p,pertanian organik bukan hanya tentang makanan sehat tetapi juga menjaga keseimbangan ekosistem,0,2024-11-21T21:53:19Z,budidaya organik,2024,pertanian organik bukan hanya tentang makanan sehat tetapi juga menjaga keseimbangan ekosistem,"pertanian, organik, bukan, hanya, tentang, makanan, sehat, tetapi, juga, menjaga, keseimbangan, ekosistem","pertanian, organik, makanan, sehat, menjaga, keseimbangan, ekosistem","tani, organik, makan, sehat, jaga, imbang, ekosistem","kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@zuhriyazahirarinjanirinjan1134,pertanian organik bukan hanya tentang menghasilkan makanan yang lebih sehat tetapi juga menjaga keseimbangan ekosistem dengan semakin berkembangnya teknologi dan permintaan pasar pertanian organik memiliki potensi besar menjadi bagian dari pertanian masa depan yang berkelanjutan,1,2024-11-21T17:53:16Z,budidaya organik,2024,pertanian organik bukan hanya tentang menghasilkan makanan yang lebih sehat tetapi juga menjaga keseimbangan ekosistem dengan semakin berkembangnya teknologi dan permintaan pasar pertanian organik memiliki potensi besar menjadi bagian dari pertanian masa depan yang berkelanjutan,"pertanian, organik, bukan, hanya, tentang, menghasilkan, makanan, yang, lebih, sehat, tetapi, juga, menjaga, keseimbangan, ekosistem, dengan, semakin, berkembangnya, teknologi, dan, permintaan, pasar, pertanian, organik, memiliki, potensi, besar, menjadi, bagian, dari, pertanian, masa, depan, yang, berkelanjutan","pertanian, organik, menghasilkan, makanan, sehat, menjaga, keseimbangan, ekosistem, berkembangnya, teknologi, permintaan, pasar, pertanian, organik, memiliki, potensi, pertanian, berkelanjutan","tani, organik, hasil, makan, sehat, jaga, imbang, ekosistem, kembang, teknologi, minta, pasar, tani, organik, milik, potensi, tani, lanjut","harga produk organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@SALSABILANURIZAHRA,saya sangat mendukung petani indonesia untuk beralih ke pertanian organik di masa depan selain hasil panen yang bebas dari residu kimia tanah juga akan menjadi sehat dan subur perlahan tapi pasti ini bisa terwujud petani eropa sudah lama beralih ke metode organik yang beragam untuk menghasilkan produk pertanian yang sehat dan saya yakin indonesia juga bisa melakukannya,2,2024-11-21T14:19:03Z,budidaya organik,2024,saya sangat mendukung petani indonesia untuk beralih ke pertanian organik di masa depan selain hasil panen yang bebas dari residu kimia tanah juga akan menjadi sehat dan subur perlahan tapi pasti ini bisa terwujud petani eropa sudah lama beralih ke metode organik yang beragam untuk menghasilkan produk pertanian yang sehat dan saya yakin indonesia juga bisa melakukannya,"saya, sangat, mendukung, petani, indonesia, untuk, beralih, ke, pertanian, organik, di, masa, depan, selain, hasil, panen, yang, bebas, dari, residu, kimia, tanah, juga, akan, menjadi, sehat, dan, subur, perlahan, tapi, pasti, ini, bisa, terwujud, petani, eropa, sudah, lama, beralih, ke, metode, organik, yang, beragam, untuk, menghasilkan, produk, pertanian, yang, sehat, dan, saya, yakin, indonesia, juga, bisa, melakukannya","mendukung, petani, indonesia, beralih, pertanian, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, perlahan, terwujud, petani, eropa, beralih, metode, organik, beragam, menghasilkan, produk, pertanian, sehat, indonesia, melakukannya","dukung, tani, indonesia, alih, tani, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, perlahan, wujud, tani, eropa, alih, metode, organik, agam, hasil, produk, tani, sehat, indonesia, laku","hasil panen organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@udinsafrudin8006,salam kenal dari purworejo pertanian organik memang jos,0,2024-10-17T05:06:49Z,budidaya organik,2024,salam kenal dari purworejo pertanian organik memang jos,"salam, kenal, dari, purworejo, pertanian, organik, memang, jos","salam, kenal, purworejo, pertanian, organik, jos","salam, nal, purworejo, tani, organik, jos",kepercayaan produk organik
YxYvJhEqC98,@trodiro3713,pertanian organik menghasilkan produk pangan berkualitas karena tidak menggunakan bahan kimia sintetis menjaga kesuburan tanah memanfaatkan benih dan tanaman asli serta memelihara hewan secara alami praktik ini meningkatkan nutrisi rasa dan keamanan produk serta mendukung keseimbangan lingkungan,0,2024-10-08T04:57:29Z,budidaya organik,2024,pertanian organik menghasilkan produk pangan berkualitas karena tidak menggunakan bahan kimia sintetis menjaga kesuburan tanah memanfaatkan benih dan tanaman asli serta memelihara hewan secara alami praktik ini meningkatkan nutrisi rasa dan keamanan produk serta mendukung keseimbangan lingkungan,"pertanian, organik, menghasilkan, produk, pangan, berkualitas, karena, tidak, menggunakan, bahan, kimia, sintetis, menjaga, kesuburan, tanah, memanfaatkan, benih, dan, tanaman, asli, serta, memelihara, hewan, secara, alami, praktik, ini, meningkatkan, nutrisi, rasa, dan, keamanan, produk, serta, mendukung, keseimbangan, lingkungan","pertanian, organik, menghasilkan, produk, pangan, berkualitas, bahan, kimia, sintetis, menjaga, kesuburan, tanah, memanfaatkan, benih, tanaman, asli, memelihara, hewan, alami, praktik, meningkatkan, nutrisi, keamanan, produk, mendukung, keseimbangan, lingkungan","tani, organik, hasil, produk, pangan, kualitas, bahan, kimia, sintetis, jaga, subur, tanah, manfaat, benih, tanam, asli, pelihara, hewan, alami, praktik, tingkat, nutrisi, aman, produk, dukung, imbang, lingkung",kepercayaan produk organik
YxYvJhEqC98,@ahmadm.rafaeyza2692,kementrian pertanian harus lebih aktif lagi menghimbau merangkul membimbing menggerakkan secara langsung ke lapangan kepada petani indonesia utk bertani organik supaya petani indonesia bisa bertani alami berbiaya rendah tapi berkualitas paling tidak meminimalisir pemakaian pupuk kimia yg harganya terus meroket tinggi,0,2024-06-15T12:19:33Z,budidaya organik,2024,kementrian pertanian harus lebih aktif lagi menghimbau merangkul membimbing menggerakkan secara langsung ke lapangan kepada petani indonesia utk bertani organik supaya petani indonesia bisa bertani alami berbiaya rendah tapi berkualitas paling tidak meminimalisir pemakaian pupuk kimia yg harganya terus meroket tinggi,"kementrian, pertanian, harus, lebih, aktif, lagi, menghimbau, merangkul, membimbing, menggerakkan, secara, langsung, ke, lapangan, kepada, petani, indonesia, utk, bertani, organik, supaya, petani, indonesia, bisa, bertani, alami, berbiaya, rendah, tapi, berkualitas, paling, tidak, meminimalisir, pemakaian, pupuk, kimia, yg, harganya, terus, meroket, tinggi","kementrian, pertanian, aktif, menghimbau, merangkul, membimbing, menggerakkan, langsung, lapangan, petani, indonesia, utk, bertani, organik, petani, indonesia, bertani, alami, berbiaya, rendah, berkualitas, meminimalisir, pemakaian, pupuk, kimia, yg, harganya, meroket","tri, tani, aktif, himbau, rangkul, bimbing, gerak, langsung, lapang, tani, indonesia, utk, tan, organik, tani, indonesia, tan, alami, biaya, rendah, kualitas, meminimalisir, pakai, pupuk, kimia, yg, harga, roket",kepercayaan produk organik
YxYvJhEqC98,@dikitdikitspill,kenapa pemerintah tidak menyiapkan pupuk organik gratis untuk petani seperti di luar negeri,0,2024-05-05T01:39:25Z,budidaya organik,2024,kenapa pemerintah tidak menyiapkan pupuk organik gratis untuk petani seperti di luar negeri,"kenapa, pemerintah, tidak, menyiapkan, pupuk, organik, gratis, untuk, petani, seperti, di, luar, negeri","pemerintah, pupuk, organik, gratis, petani, negeri","perintah, pupuk, organik, gratis, tani, negeri",kepercayaan produk organik
YxYvJhEqC98,@BossKim-y5c,pertanian organik itu pertanian masa lalu kementan kemana saja hoyyu,0,2024-02-08T15:45:40Z,budidaya organik,2024,pertanian organik itu pertanian masa lalu kementan kemana saja hoyyu,"pertanian, organik, itu, pertanian, masa, lalu, kementan, kemana, saja, hoyyu","pertanian, organik, pertanian, kementan, kemana, hoyyu","tani, organik, tani, tan, mana, hoyyu",kepercayaan produk organik
