video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
1NnDgJzBAq4,@Irsyak-o3j,mau tanya nanti kalo hasil dari hidroponik di makan ngga bakalan racun kan takut kalo nanti nyoba malah sakit perut,1,2025-01-07T12:07:53Z,hidroponik,2025,mau tanya nanti kalo hasil dari hidroponik di makan ngga bakalan racun kan takut kalo nanti nyoba malah sakit perut,"mau, tanya, nanti, kalo, hasil, dari, hidroponik, di, makan, ngga, bakalan, racun, kan, takut, kalo, nanti, nyoba, malah, sakit, perut","kalo, hasil, hidroponik, makan, ngga, racun, takut, kalo, nyoba, sakit, perut","kalo, hasil, hidroponik, makan, ga, racun, takut, kalo, nyoba, sakit, perut",keuntungan hidroponik
1NnDgJzBAq4,@desylandriani,ijin tanya kak pack bibit kangkung bisa untuk brp besek tanam ukuran d video misal mau nyoba tanam buat nntiny d jual kira untung g yya disini kangkung ikat hrga rb lg pgn cari penghasilan tmbahan dr rumah,1,2023-08-20T01:22:55Z,hidroponik,2023,ijin tanya kak pack bibit kangkung bisa untuk brp besek tanam ukuran d video misal mau nyoba tanam buat nntiny d jual kira untung g yya disini kangkung ikat hrga rb lg pgn cari penghasilan tmbahan dr rumah,"ijin, tanya, kak, pack, bibit, kangkung, bisa, untuk, brp, besek, tanam, ukuran, d, video, misal, mau, nyoba, tanam, buat, nntiny, d, jual, kira, untung, g, yya, disini, kangkung, ikat, hrga, rb, lg, pgn, cari, penghasilan, tmbahan, dr, rumah","ijin, kak, pack, bibit, kangkung, brp, besek, tanam, ukuran, d, video, nyoba, tanam, nntiny, d, jual, untung, g, yya, kangkung, ikat, hrga, rb, lg, pgn, cari, penghasilan, tmbahan, dr, rumah","ijin, kak, pack, bibit, kangkung, brp, besek, tanam, ukur, d, video, nyoba, tanam, nntiny, d, jual, untung, g, yya, kangkung, ikat, hrga, rb, lg, pgn, cari, hasil, tmbahan, dr, rumah","keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@F__Nurfadillah,terlihat sangat mudah,0,2023-03-02T11:32:42Z,hidroponik,2023,terlihat sangat mudah,"terlihat, sangat, mudah",mudah,mudah,"keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@anakkaroperantauan2738,tutorial nya mudah dipahami,0,2022-08-27T16:13:36Z,hidroponik,2022,tutorial nya mudah dipahami,"tutorial, nya, mudah, dipahami","tutorial, nya, mudah, dipahami","tutorial, , mudah, paham","keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@rezekinomplok6781,itu pot brapa ikat bang hasil panen nya,0,2022-07-17T14:18:20Z,hidroponik,2022,itu pot brapa ikat bang hasil panen nya,"itu, pot, brapa, ikat, bang, hasil, panen, nya","pot, brapa, ikat, bang, hasil, panen, nya","pot, brapa, ikat, bang, hasil, panen, ",keuntungan hidroponik
1NnDgJzBAq4,@sitipariyati7183,ini yg paling simpel mudah dan murah terima kasih ka untuk ilmunyasukses terus,1,2022-06-18T17:46:14Z,hidroponik,2022,ini yg paling simpel mudah dan murah terima kasih ka untuk ilmunyasukses terus,"ini, yg, paling, simpel, mudah, dan, murah, terima, kasih, ka, untuk, ilmunyasukses, terus","yg, simpel, mudah, murah, terima, kasih, ka, ilmunyasukses","yg, simpel, mudah, murah, terima, kasih, ka, ilmunyasukses","biaya awal hidroponik, keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@nengmini2589,mau nyoba ah mudah an berhasil,0,2022-04-06T08:29:05Z,hidroponik,2022,mau nyoba ah mudah an berhasil,"mau, nyoba, ah, mudah, an, berhasil","nyoba, ah, mudah, an, berhasil","nyoba, ah, mudah, an, hasil","keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@kasmawati8775,mantap dan mudah tanam hidroponik,0,2021-12-14T09:06:28Z,hidroponik,2021,mantap dan mudah tanam hidroponik,"mantap, dan, mudah, tanam, hidroponik","mantap, mudah, tanam, hidroponik","mantap, mudah, tanam, hidroponik","keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@milaatmajaya6820,pak apakah air aquades itu boleh gak dari air hasil saringan pure it,0,2021-12-12T01:57:17Z,hidroponik,2021,pak apakah air aquades itu boleh gak dari air hasil saringan pure it,"pak, apakah, air, aquades, itu, boleh, gak, dari, air, hasil, saringan, pure, it","air, aquades, gak, air, hasil, saringan, pure, it","air, aquades, gak, air, hasil, saring, pure, it","keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@makeARTby_IP,jadi tertarik banget soalnya mudah terimakasih,0,2021-08-08T15:06:22Z,hidroponik,2021,jadi tertarik banget soalnya mudah terimakasih,"jadi, tertarik, banget, soalnya, mudah, terimakasih","tertarik, banget, mudah, terimakasih","tarik, banget, mudah, terimakasih","keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
1NnDgJzBAq4,@putrimelatiyglayu4140,klo mnurut q menanm lbh efisien mumer dgn cara yg sdrhna jg bsa dpnen tuk kluarga dh ckup la,0,2021-06-17T07:26:38Z,hidroponik,2021,klo mnurut q menanm lbh efisien mumer dgn cara yg sdrhna jg bsa dpnen tuk kluarga dh ckup la,"klo, mnurut, q, menanm, lbh, efisien, mumer, dgn, cara, yg, sdrhna, jg, bsa, dpnen, tuk, kluarga, dh, ckup, la","klo, mnurut, q, menanm, lbh, efisien, mumer, dgn, yg, sdrhna, jg, bsa, dpnen, tuk, kluarga, dh, ckup, la","klo, mnurut, q, menanm, lbh, efisien, mumer, dgn, yg, sdrhna, jg, bsa, dpnen, tuk, kluarga, dh, ckup, la",keuntungan hidroponik
1NnDgJzBAq4,@arisaprilbate.e2984,secara ekonomi tidak menguntungkan karena bila kita belanjakan sayur kangkung dengan jumlah yang di tutorial senilai rb atau ribu sementara tanam sendiri lebih mahal dengan biaya bahan dan pekerjaan jadi merugikan kita,1,2021-06-15T11:59:47Z,hidroponik,2021,secara ekonomi tidak menguntungkan karena bila kita belanjakan sayur kangkung dengan jumlah yang di tutorial senilai rb atau ribu sementara tanam sendiri lebih mahal dengan biaya bahan dan pekerjaan jadi merugikan kita,"secara, ekonomi, tidak, menguntungkan, karena, bila, kita, belanjakan, sayur, kangkung, dengan, jumlah, yang, di, tutorial, senilai, rb, atau, ribu, sementara, tanam, sendiri, lebih, mahal, dengan, biaya, bahan, dan, pekerjaan, jadi, merugikan, kita","ekonomi, menguntungkan, belanjakan, sayur, kangkung, tutorial, senilai, rb, ribu, tanam, mahal, biaya, bahan, pekerjaan, merugikan","ekonomi, untung, belanja, sayur, kangkung, tutorial, nila, rb, ribu, tanam, mahal, biaya, bahan, kerja, rugi","biaya awal hidroponik, keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@gaelsablonbatubara9183,mantap bang ulasannya juga mudah di fahami pengen nyoba nih,0,2021-06-10T19:19:18Z,hidroponik,2021,mantap bang ulasannya juga mudah di fahami pengen nyoba nih,"mantap, bang, ulasannya, juga, mudah, di, fahami, pengen, nyoba, nih","mantap, bang, ulasannya, mudah, fahami, pengen, nyoba, nih","mantap, bang, ulas, mudah, fahami, ken, nyoba, nih","keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
1NnDgJzBAq4,@fi3any,terimakasih atas videonya infonya sangat mudah dipahami btw mau tanya ya itu media yg dipake yg warna hitam itu pot bukan sich ya kalo pot kan biasanya alasnya berlobang entar airnya keluar apa dibikin batu atau pot nya jgn dilubangi mohon infonya terimakasih,0,2021-03-25T09:01:54Z,hidroponik,2021,terimakasih atas videonya infonya sangat mudah dipahami btw mau tanya ya itu media yg dipake yg warna hitam itu pot bukan sich ya kalo pot kan biasanya alasnya berlobang entar airnya keluar apa dibikin batu atau pot nya jgn dilubangi mohon infonya terimakasih,"terimakasih, atas, videonya, infonya, sangat, mudah, dipahami, btw, mau, tanya, ya, itu, media, yg, dipake, yg, warna, hitam, itu, pot, bukan, sich, ya, kalo, pot, kan, biasanya, alasnya, berlobang, entar, airnya, keluar, apa, dibikin, batu, atau, pot, nya, jgn, dilubangi, mohon, infonya, terimakasih","terimakasih, videonya, infonya, mudah, dipahami, btw, ya, media, yg, dipake, yg, warna, hitam, pot, sich, ya, kalo, pot, alasnya, berlobang, entar, airnya, dibikin, batu, pot, nya, jgn, dilubangi, mohon, infonya, terimakasih","terimakasih, video, info, mudah, paham, btw, ya, media, yg, pake, yg, warna, hitam, pot, sich, ya, kalo, pot, alas, berlobang, entar, air, bikin, batu, pot, , jgn, lubang, mohon, info, terimakasih","keuntungan hidroponik, kompleksitas perawatan"
1NnDgJzBAq4,@abdurahmanabuavi8459,inspiratif penjelasan rinci mudah dan akan coba dipraktekan mudah an berhasil terima kasih telah berbagi,2,2021-03-13T06:33:13Z,hidroponik,2021,inspiratif penjelasan rinci mudah dan akan coba dipraktekan mudah an berhasil terima kasih telah berbagi,"inspiratif, penjelasan, rinci, mudah, dan, akan, coba, dipraktekan, mudah, an, berhasil, terima, kasih, telah, berbagi","inspiratif, penjelasan, rinci, mudah, coba, dipraktekan, mudah, an, berhasil, terima, kasih, berbagi","inspiratif, jelas, rinci, mudah, coba, praktek, mudah, an, hasil, terima, kasih, bagi","keuntungan hidroponik, kompleksitas perawatan, minat hidroponik"
1NnDgJzBAq4,@bangpandaaa944,kereenn ilmunya mudah dipahami pgn praktekin hidroponik dikos kak,1,2021-02-16T04:12:33Z,hidroponik,2021,kereenn ilmunya mudah dipahami pgn praktekin hidroponik dikos kak,"kereenn, ilmunya, mudah, dipahami, pgn, praktekin, hidroponik, dikos, kak","kereenn, ilmunya, mudah, dipahami, pgn, praktekin, hidroponik, dikos, kak","reenn, ilmu, mudah, paham, pgn, praktekin, hidroponik, kos, kak","keuntungan hidroponik, kompleksitas perawatan"
