video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
1NnDgJzBAq4,@fadhillahainunyasin,jadi pengen nyoba hidroponik kak menginspirasi,0,2025-01-10T02:45:31Z,hidroponik,2025,jadi pengen nyoba hidroponik kak menginspirasi,"jadi, pengen, nyoba, hidroponik, kak, menginspirasi","pengen, nyoba, hidroponik, kak, menginspirasi","ken, nyoba, hidroponik, kak, inspirasi",minat hidroponik
1NnDgJzBAq4,@nurhamidah5871,saya baru mau mulai belajar dan lihat video ini dgn alat yg sderhana ada di rumah semakin semangat utk mencoba bismillah praktek mksih bang tutorialnya,4,2024-12-29T12:27:31Z,hidroponik,2024,saya baru mau mulai belajar dan lihat video ini dgn alat yg sderhana ada di rumah semakin semangat utk mencoba bismillah praktek mksih bang tutorialnya,"saya, baru, mau, mulai, belajar, dan, lihat, video, ini, dgn, alat, yg, sderhana, ada, di, rumah, semakin, semangat, utk, mencoba, bismillah, praktek, mksih, bang, tutorialnya","belajar, lihat, video, dgn, alat, yg, sderhana, rumah, semangat, utk, mencoba, bismillah, praktek, mksih, bang, tutorialnya","ajar, lihat, video, dgn, alat, yg, sderhana, rumah, semangat, utk, coba, bismillah, praktek, mksih, bang, tutorial","biaya awal hidroponik, minat hidroponik"
1NnDgJzBAq4,@karyaindrahadi2956,cocok utk aku yg suka sayur pakai bgt,0,2024-08-24T01:10:29Z,hidroponik,2024,cocok utk aku yg suka sayur pakai bgt,"cocok, utk, aku, yg, suka, sayur, pakai, bgt","cocok, utk, yg, suka, sayur, pakai, bgt","cocok, utk, yg, suka, sayur, pakai, bgt",minat hidroponik
1NnDgJzBAq4,@ramaekasaputra6654,mau nanya mas itu kalo air di pot nya udh mau abis nanti yang di isi lagi ke pot nya air biasa apa larutan ab mix terus kalo kangkung panen nya berapa minggu sekali saya pemula mas baru mau mulai,0,2024-08-14T02:50:16Z,hidroponik,2024,mau nanya mas itu kalo air di pot nya udh mau abis nanti yang di isi lagi ke pot nya air biasa apa larutan ab mix terus kalo kangkung panen nya berapa minggu sekali saya pemula mas baru mau mulai,"mau, nanya, mas, itu, kalo, air, di, pot, nya, udh, mau, abis, nanti, yang, di, isi, lagi, ke, pot, nya, air, biasa, apa, larutan, ab, mix, terus, kalo, kangkung, panen, nya, berapa, minggu, sekali, saya, pemula, mas, baru, mau, mulai","nanya, mas, kalo, air, pot, nya, udh, abis, isi, pot, nya, air, larutan, ab, mix, kalo, kangkung, panen, nya, minggu, pemula, mas","na, mas, kalo, air, pot, , udh, abis, isi, pot, , air, larut, ab, mix, kalo, kangkung, panen, , minggu, mula, mas","kompleksitas perawatan, minat hidroponik"
1NnDgJzBAq4,@okjustikajusri918,tks ilmunya sy coba praktekkan ya mas,0,2024-08-01T14:32:13Z,hidroponik,2024,tks ilmunya sy coba praktekkan ya mas,"tks, ilmunya, sy, coba, praktekkan, ya, mas","tks, ilmunya, sy, coba, praktekkan, ya, mas","tks, ilmu, sy, coba, praktek, ya, mas",minat hidroponik
1NnDgJzBAq4,@wartum8860,mau coba deh,1,2024-07-08T21:38:16Z,hidroponik,2024,mau coba deh,"mau, coba, deh","coba, deh","coba, deh",minat hidroponik
1NnDgJzBAq4,@linarusmi4247,yg dimaksud dng air aquades apa iya krn saya masih mu belajar betanam,0,2024-06-10T08:50:09Z,hidroponik,2024,yg dimaksud dng air aquades apa iya krn saya masih mu belajar betanam,"yg, dimaksud, dng, air, aquades, apa, iya, krn, saya, masih, mu, belajar, betanam","yg, dng, air, aquades, iya, krn, mu, belajar, betanam","yg, dng, air, aquades, iya, krn, mu, ajar, betanam","kompleksitas perawatan, minat hidroponik"
1NnDgJzBAq4,@dessyerlina4392,hallo kak mohon bantu d jawab hidroponik rumahan ini ppm nya harus sama dr mulai pindah tanam panen atau beda beda yaa berdasarkan brapa mnggu setelah pindah tanam,0,2024-05-15T01:39:35Z,hidroponik,2024,hallo kak mohon bantu d jawab hidroponik rumahan ini ppm nya harus sama dr mulai pindah tanam panen atau beda beda yaa berdasarkan brapa mnggu setelah pindah tanam,"hallo, kak, mohon, bantu, d, jawab, hidroponik, rumahan, ini, ppm, nya, harus, sama, dr, mulai, pindah, tanam, panen, atau, beda, beda, yaa, berdasarkan, brapa, mnggu, setelah, pindah, tanam","hallo, kak, mohon, bantu, d, hidroponik, rumahan, ppm, nya, dr, pindah, tanam, panen, beda, beda, yaa, berdasarkan, brapa, mnggu, pindah, tanam","hallo, kak, mohon, bantu, d, hidroponik, rumah, ppm, , dr, pindah, tanam, panen, beda, beda, yaa, dasar, brapa, mnggu, pindah, tanam","kompleksitas perawatan, minat hidroponik"
1NnDgJzBAq4,@naproject1850,bang aku baru pemula udah jam benih kangkungku belum semai banyak baru biji yg mau berkecambah tapi belum begitu banyak dan panjang kecambahnyaaa apa krna gak aku taruh di tempat gelap aku lupa cuma tutup ajaa gak aku kasih karung plastik apakah berhasil bang haruskah sesuai jam di jemur ajaa apa tetep di bungkuss karung supaya gelap tolong bles ya bang,0,2023-12-07T01:29:46Z,hidroponik,2023,bang aku baru pemula udah jam benih kangkungku belum semai banyak baru biji yg mau berkecambah tapi belum begitu banyak dan panjang kecambahnyaaa apa krna gak aku taruh di tempat gelap aku lupa cuma tutup ajaa gak aku kasih karung plastik apakah berhasil bang haruskah sesuai jam di jemur ajaa apa tetep di bungkuss karung supaya gelap tolong bles ya bang,"bang, aku, baru, pemula, udah, jam, benih, kangkungku, belum, semai, banyak, baru, biji, yg, mau, berkecambah, tapi, belum, begitu, banyak, dan, panjang, kecambahnyaaa, apa, krna, gak, aku, taruh, di, tempat, gelap, aku, lupa, cuma, tutup, ajaa, gak, aku, kasih, karung, plastik, apakah, berhasil, bang, haruskah, sesuai, jam, di, jemur, ajaa, apa, tetep, di, bungkuss, karung, supaya, gelap, tolong, bles, ya, bang","bang, pemula, udah, jam, benih, kangkungku, semai, biji, yg, berkecambah, kecambahnyaaa, krna, gak, taruh, gelap, lupa, tutup, ajaa, gak, kasih, karung, plastik, berhasil, bang, haruskah, sesuai, jam, jemur, ajaa, tetep, bungkuss, karung, gelap, tolong, bles, ya, bang","bang, mula, udah, jam, benih, kangkung, semai, biji, yg, kecambah, cambahnyaaa, krna, gak, taruh, gelap, lupa, tutup, ajaa, gak, kasih, karung, plastik, hasil, bang, harus, sesuai, jam, jemur, ajaa, tetep, bungkuss, karung, gelap, tolong, bles, ya, bang","kompleksitas perawatan, minat hidroponik"
1NnDgJzBAq4,@fhry._,bang izin nanya aku baru coba mulai tanam hidroponik pakai cara kayak gini kira kalo cuma pake air biasa doang ngga pake nutrisi ab mix kira bisa tumbuh ngga ya,1,2023-10-14T10:14:18Z,hidroponik,2023,bang izin nanya aku baru coba mulai tanam hidroponik pakai cara kayak gini kira kalo cuma pake air biasa doang ngga pake nutrisi ab mix kira bisa tumbuh ngga ya,"bang, izin, nanya, aku, baru, coba, mulai, tanam, hidroponik, pakai, cara, kayak, gini, kira, kalo, cuma, pake, air, biasa, doang, ngga, pake, nutrisi, ab, mix, kira, bisa, tumbuh, ngga, ya","bang, izin, nanya, coba, tanam, hidroponik, pakai, kayak, gini, kalo, pake, air, doang, ngga, pake, nutrisi, ab, mix, tumbuh, ngga, ya","bang, izin, na, coba, tanam, hidroponik, pakai, kayak, gin, kalo, pake, air, doang, ga, pake, nutrisi, ab, mix, tumbuh, ga, ya","kompleksitas perawatan, minat hidroponik"
