video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
YxYvJhEqC98,@edisupriadi9141,sudahlah wahai petani konvensional mari rubah mindset kita kembali ke pertanian nenek moyang kita dijamin modal murah muriah tanaman dan tanah akan sehat tanpa menyebar kedzoliman kimiawi,0,2025-01-15T02:33:22Z,budidaya organik,2025,sudahlah wahai petani konvensional mari rubah mindset kita kembali ke pertanian nenek moyang kita dijamin modal murah muriah tanaman dan tanah akan sehat tanpa menyebar kedzoliman kimiawi,"sudahlah, wahai, petani, konvensional, mari, rubah, mindset, kita, kembali, ke, pertanian, nenek, moyang, kita, dijamin, modal, murah, muriah, tanaman, dan, tanah, akan, sehat, tanpa, menyebar, kedzoliman, kimiawi","petani, konvensional, mari, rubah, mindset, pertanian, nenek, moyang, dijamin, modal, murah, muriah, tanaman, tanah, sehat, menyebar, kedzoliman, kimiawi","tani, konvensional, mari, rubah, mindset, tani, nenek, moyang, jamin, modal, murah, muriah, tanam, tanah, sehat, sebar, dzoliman, kimiawi","harga produk organik, minat konsumen organik"
YxYvJhEqC98,@YohanaSitorus-z7p,pertanian organik bukan hanya tentang makanan sehat tetapi juga menjaga keseimbangan ekosistem,0,2024-11-21T21:53:19Z,budidaya organik,2024,pertanian organik bukan hanya tentang makanan sehat tetapi juga menjaga keseimbangan ekosistem,"pertanian, organik, bukan, hanya, tentang, makanan, sehat, tetapi, juga, menjaga, keseimbangan, ekosistem","pertanian, organik, makanan, sehat, menjaga, keseimbangan, ekosistem","tani, organik, makan, sehat, jaga, imbang, ekosistem","kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@zuhriyazahirarinjanirinjan1134,pertanian organik bukan hanya tentang menghasilkan makanan yang lebih sehat tetapi juga menjaga keseimbangan ekosistem dengan semakin berkembangnya teknologi dan permintaan pasar pertanian organik memiliki potensi besar menjadi bagian dari pertanian masa depan yang berkelanjutan,1,2024-11-21T17:53:16Z,budidaya organik,2024,pertanian organik bukan hanya tentang menghasilkan makanan yang lebih sehat tetapi juga menjaga keseimbangan ekosistem dengan semakin berkembangnya teknologi dan permintaan pasar pertanian organik memiliki potensi besar menjadi bagian dari pertanian masa depan yang berkelanjutan,"pertanian, organik, bukan, hanya, tentang, menghasilkan, makanan, yang, lebih, sehat, tetapi, juga, menjaga, keseimbangan, ekosistem, dengan, semakin, berkembangnya, teknologi, dan, permintaan, pasar, pertanian, organik, memiliki, potensi, besar, menjadi, bagian, dari, pertanian, masa, depan, yang, berkelanjutan","pertanian, organik, menghasilkan, makanan, sehat, menjaga, keseimbangan, ekosistem, berkembangnya, teknologi, permintaan, pasar, pertanian, organik, memiliki, potensi, pertanian, berkelanjutan","tani, organik, hasil, makan, sehat, jaga, imbang, ekosistem, kembang, teknologi, minta, pasar, tani, organik, milik, potensi, tani, lanjut","harga produk organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@SALSABILANURIZAHRA,saya sangat mendukung petani indonesia untuk beralih ke pertanian organik di masa depan selain hasil panen yang bebas dari residu kimia tanah juga akan menjadi sehat dan subur perlahan tapi pasti ini bisa terwujud petani eropa sudah lama beralih ke metode organik yang beragam untuk menghasilkan produk pertanian yang sehat dan saya yakin indonesia juga bisa melakukannya,2,2024-11-21T14:19:03Z,budidaya organik,2024,saya sangat mendukung petani indonesia untuk beralih ke pertanian organik di masa depan selain hasil panen yang bebas dari residu kimia tanah juga akan menjadi sehat dan subur perlahan tapi pasti ini bisa terwujud petani eropa sudah lama beralih ke metode organik yang beragam untuk menghasilkan produk pertanian yang sehat dan saya yakin indonesia juga bisa melakukannya,"saya, sangat, mendukung, petani, indonesia, untuk, beralih, ke, pertanian, organik, di, masa, depan, selain, hasil, panen, yang, bebas, dari, residu, kimia, tanah, juga, akan, menjadi, sehat, dan, subur, perlahan, tapi, pasti, ini, bisa, terwujud, petani, eropa, sudah, lama, beralih, ke, metode, organik, yang, beragam, untuk, menghasilkan, produk, pertanian, yang, sehat, dan, saya, yakin, indonesia, juga, bisa, melakukannya","mendukung, petani, indonesia, beralih, pertanian, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, perlahan, terwujud, petani, eropa, beralih, metode, organik, beragam, menghasilkan, produk, pertanian, sehat, indonesia, melakukannya","dukung, tani, indonesia, alih, tani, organik, hasil, panen, bebas, residu, kimia, tanah, sehat, subur, perlahan, wujud, tani, eropa, alih, metode, organik, agam, hasil, produk, tani, sehat, indonesia, laku","hasil panen organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@HayaFamilychannel,bismillah harapan kami bisa punya lahan untuk tanam sayuran organik biar keluarga indonesia bisa sehat semua aamiin,0,2023-11-25T04:44:05Z,budidaya organik,2023,bismillah harapan kami bisa punya lahan untuk tanam sayuran organik biar keluarga indonesia bisa sehat semua aamiin,"bismillah, harapan, kami, bisa, punya, lahan, untuk, tanam, sayuran, organik, biar, keluarga, indonesia, bisa, sehat, semua, aamiin","bismillah, harapan, lahan, tanam, sayuran, organik, biar, keluarga, indonesia, sehat, aamiin","bismillah, harap, lahan, tanam, sayur, organik, biar, luarga, indonesia, sehat, aamiin","kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@Agribisnisijen,saya ada lahan ha kalau mau dikelola secara organik model begini bisa asal hasil produk pertaniannya bisa terserap bapak,0,2023-11-13T01:30:38Z,budidaya organik,2023,saya ada lahan ha kalau mau dikelola secara organik model begini bisa asal hasil produk pertaniannya bisa terserap bapak,"saya, ada, lahan, ha, kalau, mau, dikelola, secara, organik, model, begini, bisa, asal, hasil, produk, pertaniannya, bisa, terserap, bapak","lahan, ha, dikelola, organik, model, hasil, produk, pertaniannya, terserap","lahan, ha, kelola, organik, model, hasil, produk, tani, serap","hasil panen organik, kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@buyaabbaskikialhadid7067,coba pakai pupuk organik bio soltamax kami dari bandung karya anak negeri sehat menyehatkan,0,2023-02-27T03:10:28Z,budidaya organik,2023,coba pakai pupuk organik bio soltamax kami dari bandung karya anak negeri sehat menyehatkan,"coba, pakai, pupuk, organik, bio, soltamax, kami, dari, bandung, karya, anak, negeri, sehat, menyehatkan","coba, pakai, pupuk, organik, bio, soltamax, bandung, karya, anak, negeri, sehat, menyehatkan","coba, pakai, pupuk, organik, bio, soltamax, bandung, karya, anak, negeri, sehat, sehat","kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@muhajir1103,omong kosong bagaimana kurang minat pemuda dalam pertanian kalo semua penuh permainan,0,2022-11-17T07:03:26Z,budidaya organik,2022,omong kosong bagaimana kurang minat pemuda dalam pertanian kalo semua penuh permainan,"omong, kosong, bagaimana, kurang, minat, pemuda, dalam, pertanian, kalo, semua, penuh, permainan","omong, kosong, minat, pemuda, pertanian, kalo, penuh, permainan","omong, kosong, minat, pemuda, tani, kalo, penuh, main",minat konsumen organik
YxYvJhEqC98,@hafizhahnurhidayat2115,organik lbh sehat dan cerdas dlm kehidupan,0,2022-10-13T14:45:07Z,budidaya organik,2022,organik lbh sehat dan cerdas dlm kehidupan,"organik, lbh, sehat, dan, cerdas, dlm, kehidupan","organik, lbh, sehat, cerdas, dlm, kehidupan","organik, lbh, sehat, cerdas, dlm, hidup","kepercayaan produk organik, minat konsumen organik"
YxYvJhEqC98,@DoktorPOKOKTV,martabatkan pertanian organik untuk bumi yg lebih sehat,0,2022-07-18T06:33:52Z,budidaya organik,2022,martabatkan pertanian organik untuk bumi yg lebih sehat,"martabatkan, pertanian, organik, untuk, bumi, yg, lebih, sehat","martabatkan, pertanian, organik, bumi, yg, sehat","martabat, tani, organik, bumi, yg, sehat","kepercayaan produk organik, minat konsumen organik"
