video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
JTEhv7JCRF0,@ImronKurniawan-k3j4y,pak untuk ambiton bagusnya dcampur sma pupuk apa pestisida untuk dosis ambtion perliter brapa pak dan pengunaan interval berapa takutnya keseringan nnti over zpt,0,2025-12-22T17:26:23Z,pengendalian hama,2025,pak untuk ambiton bagusnya dcampur sma pupuk apa pestisida untuk dosis ambtion perliter brapa pak dan pengunaan interval berapa takutnya keseringan nnti over zpt,"pak, untuk, ambiton, bagusnya, dcampur, sma, pupuk, apa, pestisida, untuk, dosis, ambtion, perliter, brapa, pak, dan, pengunaan, interval, berapa, takutnya, keseringan, nnti, over, zpt","ambiton, bagusnya, dcampur, sma, pupuk, pestisida, dosis, ambtion, perliter, brapa, pengunaan, interval, takutnya, keseringan, nnti, over, zpt","ambiton, bagus, dcampur, sma, pupuk, pestisida, dosis, ambtion, liter, brapa, pengunaan, interval, takut, sering, nnti, over, zpt","kompatibilitas pestisida, risiko pestisida kesehatan"
JTEhv7JCRF0,@ruswaneffendi3468,saran sy dicoba pertanian ramah lingkungan yg tdk dicemari oleh pestisida dan fungisida kimia karena secara langsung tanaman dan buah yg dihasilkan sdh tercemar tdk baik utk kesehatan tks,0,2025-11-27T08:15:28Z,pengendalian hama,2025,saran sy dicoba pertanian ramah lingkungan yg tdk dicemari oleh pestisida dan fungisida kimia karena secara langsung tanaman dan buah yg dihasilkan sdh tercemar tdk baik utk kesehatan tks,"saran, sy, dicoba, pertanian, ramah, lingkungan, yg, tdk, dicemari, oleh, pestisida, dan, fungisida, kimia, karena, secara, langsung, tanaman, dan, buah, yg, dihasilkan, sdh, tercemar, tdk, baik, utk, kesehatan, tks","saran, sy, dicoba, pertanian, ramah, lingkungan, yg, tdk, dicemari, pestisida, fungisida, kimia, langsung, tanaman, buah, yg, dihasilkan, sdh, tercemar, tdk, utk, kesehatan, tks","saran, sy, coba, tani, ramah, lingkung, yg, tdk, cemar, pestisida, fungisida, kimia, langsung, tanam, buah, yg, hasil, sdh, cemar, tdk, utk, sehat, tks","alternatif pengendalian alami, kompatibilitas pestisida, risiko pestisida kesehatan"
JTEhv7JCRF0,@khoirulmustaqim4131,obat dibfase vegetatif di gunakan di fase generatif ada efek sampingnya gak pak soalnya daun keriting d fase generatif tapi saya semprot dg obat di fase vegetatif,0,2025-11-16T02:42:26Z,pengendalian hama,2025,obat dibfase vegetatif di gunakan di fase generatif ada efek sampingnya gak pak soalnya daun keriting d fase generatif tapi saya semprot dg obat di fase vegetatif,"obat, dibfase, vegetatif, di, gunakan, di, fase, generatif, ada, efek, sampingnya, gak, pak, soalnya, daun, keriting, d, fase, generatif, tapi, saya, semprot, dg, obat, di, fase, vegetatif","obat, dibfase, vegetatif, fase, generatif, efek, sampingnya, gak, daun, keriting, d, fase, generatif, semprot, dg, obat, fase, vegetatif","obat, bfase, vegetatif, fase, generatif, efek, samping, gak, daun, riting, d, fase, generatif, semprot, dg, obat, fase, vegetatif",risiko pestisida kesehatan
JTEhv7JCRF0,@BuRubingah-y7x,kalau pakek pestisida nabati terus pakek fungsida aplikasinya bagaimana pak minggu pertama fungsida minggu ke pestisida nabati,0,2025-09-24T23:46:54Z,pengendalian hama,2025,kalau pakek pestisida nabati terus pakek fungsida aplikasinya bagaimana pak minggu pertama fungsida minggu ke pestisida nabati,"kalau, pakek, pestisida, nabati, terus, pakek, fungsida, aplikasinya, bagaimana, pak, minggu, pertama, fungsida, minggu, ke, pestisida, nabati","pakek, pestisida, nabati, pakek, fungsida, aplikasinya, minggu, fungsida, minggu, pestisida, nabati","pakek, pestisida, nabati, pakek, fungsida, aplikasi, minggu, fungsida, minggu, pestisida, nabati","alternatif pengendalian alami, risiko pestisida kesehatan"
JTEhv7JCRF0,@UrwatulWardah,pak kalo menggunakan fungi atau insek yang sudah kadaluarsa masih aman gak pak,0,2025-09-17T14:23:26Z,pengendalian hama,2025,pak kalo menggunakan fungi atau insek yang sudah kadaluarsa masih aman gak pak,"pak, kalo, menggunakan, fungi, atau, insek, yang, sudah, kadaluarsa, masih, aman, gak, pak","kalo, fungi, insek, kadaluarsa, aman, gak","kalo, fungi, insek, kadaluarsa, aman, gak",risiko pestisida kesehatan
JTEhv7JCRF0,@erwintriwindardi5486,mau tanya pak kalau untuk dosis campuran abamektin dan akarisida berapa pak dan kalau campur demolish dan samite itu ec sama ec aman pak,0,2025-09-10T23:44:38Z,pengendalian hama,2025,mau tanya pak kalau untuk dosis campuran abamektin dan akarisida berapa pak dan kalau campur demolish dan samite itu ec sama ec aman pak,"mau, tanya, pak, kalau, untuk, dosis, campuran, abamektin, dan, akarisida, berapa, pak, dan, kalau, campur, demolish, dan, samite, itu, ec, sama, ec, aman, pak","dosis, campuran, abamektin, akarisida, campur, demolish, samite, ec, ec, aman","dosis, campur, abamektin, akarisida, campur, demolish, samite, ec, ec, aman","kompatibilitas pestisida, risiko pestisida kesehatan"
JTEhv7JCRF0,@imammustolih-c4p,bpak ini lumayan bgus dlam pnyampean info ga ber tele sya dr awal tanam sllu lihat vidio beliu dn sya pemula dg pohon cabe berhasil finish penanaman yg kedua kali nya dn udan mulai masuk fase genertif dan sya rsa cukup aman dn trkndli,1,2025-08-08T15:13:58Z,pengendalian hama,2025,bpak ini lumayan bgus dlam pnyampean info ga ber tele sya dr awal tanam sllu lihat vidio beliu dn sya pemula dg pohon cabe berhasil finish penanaman yg kedua kali nya dn udan mulai masuk fase genertif dan sya rsa cukup aman dn trkndli,"bpak, ini, lumayan, bgus, dlam, pnyampean, info, ga, ber, tele, sya, dr, awal, tanam, sllu, lihat, vidio, beliu, dn, sya, pemula, dg, pohon, cabe, berhasil, finish, penanaman, yg, kedua, kali, nya, dn, udan, mulai, masuk, fase, genertif, dan, sya, rsa, cukup, aman, dn, trkndli","bpak, lumayan, bgus, dlam, pnyampean, info, ga, ber, tele, sya, dr, tanam, sllu, lihat, vidio, beliu, dn, sya, pemula, dg, pohon, cabe, berhasil, finish, penanaman, yg, kali, nya, dn, udan, masuk, fase, genertif, sya, rsa, aman, dn, trkndli","bpak, lumayan, bgus, dlam, pnyampean, info, ga, ber, tele, sya, dr, tanam, sllu, lihat, vidio, beliu, dn, sya, mula, dg, pohon, cabe, hasil, finish, tanam, yg, kali, , dn, udan, masuk, fase, genertif, sya, rsa, aman, dn, trkndli","efektivitas pengendalian hama, risiko pestisida kesehatan"
JTEhv7JCRF0,@JW013,terima kasih untuk ilmunya pak sangat membantu pemula seperti saya izin bertanya hst berapa paling cepat fungi insektisida boleh diaplikasikan ke tanaman bagaimana pengaruh penggunaan fungi insektisida terhadap keamanan buah yang dihasilkan sehingga aman dikonsumsi apakah ada batasannya untuk penyemaian benih cabai apakah perlu kita aplikasikan fungi insektisida terima kasih,0,2025-06-29T18:51:36Z,pengendalian hama,2025,terima kasih untuk ilmunya pak sangat membantu pemula seperti saya izin bertanya hst berapa paling cepat fungi insektisida boleh diaplikasikan ke tanaman bagaimana pengaruh penggunaan fungi insektisida terhadap keamanan buah yang dihasilkan sehingga aman dikonsumsi apakah ada batasannya untuk penyemaian benih cabai apakah perlu kita aplikasikan fungi insektisida terima kasih,"terima, kasih, untuk, ilmunya, pak, sangat, membantu, pemula, seperti, saya, izin, bertanya, hst, berapa, paling, cepat, fungi, insektisida, boleh, diaplikasikan, ke, tanaman, bagaimana, pengaruh, penggunaan, fungi, insektisida, terhadap, keamanan, buah, yang, dihasilkan, sehingga, aman, dikonsumsi, apakah, ada, batasannya, untuk, penyemaian, benih, cabai, apakah, perlu, kita, aplikasikan, fungi, insektisida, terima, kasih","terima, kasih, ilmunya, membantu, pemula, izin, hst, cepat, fungi, insektisida, diaplikasikan, tanaman, pengaruh, penggunaan, fungi, insektisida, keamanan, buah, dihasilkan, aman, dikonsumsi, batasannya, penyemaian, benih, cabai, aplikasikan, fungi, insektisida, terima, kasih","terima, kasih, ilmu, bantu, mula, izin, hst, cepat, fungi, insektisida, aplikasi, tanam, pengaruh, guna, fungi, insektisida, aman, buah, hasil, aman, konsumsi, batas, semai, benih, cabai, aplikasi, fungi, insektisida, terima, kasih","kompatibilitas pestisida, risiko pestisida kesehatan"
JTEhv7JCRF0,@ayunormaki7484,penggunaan pestisida lebihbbaik pakai perekat atau tidak ya pak,0,2025-04-27T09:10:34Z,pengendalian hama,2025,penggunaan pestisida lebihbbaik pakai perekat atau tidak ya pak,"penggunaan, pestisida, lebihbbaik, pakai, perekat, atau, tidak, ya, pak","penggunaan, pestisida, lebihbbaik, pakai, perekat, ya","guna, pestisida, lebihbbaik, pakai, rekat, ya",risiko pestisida kesehatan
JTEhv7JCRF0,@jidadkunise,min buat cegah patek dmusim hujan mggu x semprot masih aman ga ya kebetulan pake amistartop,0,2025-03-21T14:45:29Z,pengendalian hama,2025,min buat cegah patek dmusim hujan mggu x semprot masih aman ga ya kebetulan pake amistartop,"min, buat, cegah, patek, dmusim, hujan, mggu, x, semprot, masih, aman, ga, ya, kebetulan, pake, amistartop","min, cegah, patek, dmusim, hujan, mggu, x, semprot, aman, ga, ya, pake, amistartop","min, cegah, patek, dmusim, hujan, mggu, x, semprot, aman, ga, ya, pake, amistartop",risiko pestisida kesehatan
JTEhv7JCRF0,@napitupulu22,fungsida pestisida dan akarisida bisa di campur pak,0,2025-03-19T01:30:12Z,pengendalian hama,2025,fungsida pestisida dan akarisida bisa di campur pak,"fungsida, pestisida, dan, akarisida, bisa, di, campur, pak","fungsida, pestisida, akarisida, campur","fungsida, pestisida, akarisida, campur","kompatibilitas pestisida, risiko pestisida kesehatan"
JTEhv7JCRF0,@burhannurashofa,izin menyampaikan pernyataan bapak saya sudah ikuti tata cara pemupukan cabe dari bapak dan mendapatkan hasil yang signifikan namun ada kendala saya adanya cabe yang sudah berbuah ada nya temuan di buah cabenya berlubang dan setelah saya bedah secara perlahan ada apa di dalam cabe yang berlubang itu ada ulat kecil dari pernyataan saya itu tadi adalah masalah buat saya jadi mohon bantuan dari bapak sedianya memberi ulasan sampai tata cara dan obat apa untuk mengantisipasi hal seperti itu di penanaman selanjutnya terima kasih bapak sebelumnya semoga selalu di beri kesehatan untuk bapak dan crewnya,0,2025-03-09T20:30:33Z,pengendalian hama,2025,izin menyampaikan pernyataan bapak saya sudah ikuti tata cara pemupukan cabe dari bapak dan mendapatkan hasil yang signifikan namun ada kendala saya adanya cabe yang sudah berbuah ada nya temuan di buah cabenya berlubang dan setelah saya bedah secara perlahan ada apa di dalam cabe yang berlubang itu ada ulat kecil dari pernyataan saya itu tadi adalah masalah buat saya jadi mohon bantuan dari bapak sedianya memberi ulasan sampai tata cara dan obat apa untuk mengantisipasi hal seperti itu di penanaman selanjutnya terima kasih bapak sebelumnya semoga selalu di beri kesehatan untuk bapak dan crewnya,"izin, menyampaikan, pernyataan, bapak, saya, sudah, ikuti, tata, cara, pemupukan, cabe, dari, bapak, dan, mendapatkan, hasil, yang, signifikan, namun, ada, kendala, saya, adanya, cabe, yang, sudah, berbuah, ada, nya, temuan, di, buah, cabenya, berlubang, dan, setelah, saya, bedah, secara, perlahan, ada, apa, di, dalam, cabe, yang, berlubang, itu, ada, ulat, kecil, dari, pernyataan, saya, itu, tadi, adalah, masalah, buat, saya, jadi, mohon, bantuan, dari, bapak, sedianya, memberi, ulasan, sampai, tata, cara, dan, obat, apa, untuk, mengantisipasi, hal, seperti, itu, di, penanaman, selanjutnya, terima, kasih, bapak, sebelumnya, semoga, selalu, di, beri, kesehatan, untuk, bapak, dan, crewnya","izin, pernyataan, ikuti, tata, pemupukan, cabe, hasil, signifikan, kendala, cabe, berbuah, nya, temuan, buah, cabenya, berlubang, bedah, perlahan, cabe, berlubang, ulat, pernyataan, mohon, bantuan, sedianya, ulasan, tata, obat, mengantisipasi, penanaman, terima, kasih, semoga, kesehatan, crewnya","izin, nyata, ikut, tata, pupu, cabe, hasil, signifikan, ndala, cabe, buah, , temu, buah, cabe, lubang, bedah, perlahan, cabe, lubang, ulat, nyata, mohon, bantu, sedia, ulas, tata, obat, antisipasi, tanam, terima, kasih, moga, sehat, crew","efektivitas pengendalian hama, risiko pestisida kesehatan"
JTEhv7JCRF0,@hasyimanis-vs2gn,terimakasih atas ilmunya smg berkah dan bpk senantiasa diberikan kesehatan salam sukses selalu,3,2025-03-08T14:31:53Z,pengendalian hama,2025,terimakasih atas ilmunya smg berkah dan bpk senantiasa diberikan kesehatan salam sukses selalu,"terimakasih, atas, ilmunya, smg, berkah, dan, bpk, senantiasa, diberikan, kesehatan, salam, sukses, selalu","terimakasih, ilmunya, smg, berkah, bpk, senantiasa, kesehatan, salam, sukses","terimakasih, ilmu, smg, berkah, bpk, senantiasa, sehat, salam, sukses",risiko pestisida kesehatan
