video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category
kS16kRKYJGg,@andhikamustamu9822,teknologi tetes ini berasal dari israel bangsa yg kalian benci,0,2025-09-18T07:05:02Z,irigasi,2025,teknologi tetes ini berasal dari israel bangsa yg kalian benci,"teknologi, tetes, ini, berasal, dari, israel, bangsa, yg, kalian, benci","teknologi, tetes, berasal, israel, bangsa, yg, benci","teknologi, tetes, asal, israel, bangsa, yg, benci",teknologi irigasi modern
kS16kRKYJGg,@dandang182,dia paham pemupukan sesuai fase tumbuh dia paham opsi pengairan terbaik paling masuk akal dia paham penanggulangan fungi insekta dia hanya perlu aplikasikan drip tape pada tanaman yg penuh resiko sangat menantang bgmn dng bawang merah atau melon mungkin akan d buat next episode d tunggu melonya min brooh,0,2025-08-12T11:58:07Z,irigasi,2025,dia paham pemupukan sesuai fase tumbuh dia paham opsi pengairan terbaik paling masuk akal dia paham penanggulangan fungi insekta dia hanya perlu aplikasikan drip tape pada tanaman yg penuh resiko sangat menantang bgmn dng bawang merah atau melon mungkin akan d buat next episode d tunggu melonya min brooh,"dia, paham, pemupukan, sesuai, fase, tumbuh, dia, paham, opsi, pengairan, terbaik, paling, masuk, akal, dia, paham, penanggulangan, fungi, insekta, dia, hanya, perlu, aplikasikan, drip, tape, pada, tanaman, yg, penuh, resiko, sangat, menantang, bgmn, dng, bawang, merah, atau, melon, mungkin, akan, d, buat, next, episode, d, tunggu, melonya, min, brooh","paham, pemupukan, sesuai, fase, tumbuh, paham, opsi, pengairan, terbaik, masuk, akal, paham, penanggulangan, fungi, insekta, aplikasikan, drip, tape, tanaman, yg, penuh, resiko, menantang, bgmn, dng, bawang, merah, melon, d, next, episode, d, tunggu, melonya, min, brooh","paham, pupu, sesuai, fase, tumbuh, paham, opsi, air, baik, masuk, akal, paham, tanggulang, fungi, insekta, aplikasi, drip, tape, tanam, yg, penuh, resiko, tantang, bgmn, dng, bawang, merah, melon, d, next, episode, d, tunggu, melo, min, brooh","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@sitihajar9844,model selang drip nya ketebalan berapa,0,2025-07-14T08:45:39Z,irigasi,2025,model selang drip nya ketebalan berapa,"model, selang, drip, nya, ketebalan, berapa","model, selang, drip, nya, ketebalan","model, selang, drip, , tebal",teknologi irigasi modern
kS16kRKYJGg,@mierebuspaketelor4996,semoga petani lain nya bisa sesegera mungkin menerapkan sistem pertanian modern seperti beliau ini amin,0,2025-06-09T10:10:43Z,irigasi,2025,semoga petani lain nya bisa sesegera mungkin menerapkan sistem pertanian modern seperti beliau ini amin,"semoga, petani, lain, nya, bisa, sesegera, mungkin, menerapkan, sistem, pertanian, modern, seperti, beliau, ini, amin","semoga, petani, nya, menerapkan, sistem, pertanian, modern, beliau, amin","moga, tani, , terap, sistem, tani, modern, beliau, amin",teknologi irigasi modern
kS16kRKYJGg,@chinnay8115,e drip cost entha,0,2025-02-13T11:22:01Z,irigasi,2025,e drip cost entha,"e, drip, cost, entha","e, drip, cost, entha","e, drip, cost, entha",teknologi irigasi modern
kS16kRKYJGg,@arvinzayazira3807,selang irigasi tetes nya pa namanya mas,0,2024-12-25T13:38:20Z,irigasi,2024,selang irigasi tetes nya pa namanya mas,"selang, irigasi, tetes, nya, pa, namanya, mas","selang, irigasi, tetes, nya, pa, namanya, mas","selang, irigasi, tetes, , pa, nama, mas","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@dendy646,pemupukan npk dilarutkan kemudian diinjek melalui venturi ke sistem drip tetes apa tidak menyebabkan tersumbat mampet lubang drip di selangnya bang kalau memang mampet bagaimana perawatan maintenance selangnya thanks,0,2024-12-16T14:11:19Z,irigasi,2024,pemupukan npk dilarutkan kemudian diinjek melalui venturi ke sistem drip tetes apa tidak menyebabkan tersumbat mampet lubang drip di selangnya bang kalau memang mampet bagaimana perawatan maintenance selangnya thanks,"pemupukan, npk, dilarutkan, kemudian, diinjek, melalui, venturi, ke, sistem, drip, tetes, apa, tidak, menyebabkan, tersumbat, mampet, lubang, drip, di, selangnya, bang, kalau, memang, mampet, bagaimana, perawatan, maintenance, selangnya, thanks","pemupukan, npk, dilarutkan, diinjek, venturi, sistem, drip, tetes, menyebabkan, tersumbat, mampet, lubang, drip, selangnya, bang, mampet, perawatan, maintenance, selangnya, thanks","pupu, npk, larut, injek, venturi, sistem, drip, tetes, sebab, sumbat, mampet, lubang, drip, selang, bang, mampet, awat, maintenance, selang, thanks","biaya infrastruktur irigasi, keandalan sistem irigasi, teknologi irigasi modern"
kS16kRKYJGg,@Juanro_7,secret to drip irrigation actually bury it,0,2024-12-03T01:06:46Z,irigasi,2024,secret to drip irrigation actually bury it,"secret, to, drip, irrigation, actually, bury, it","secret, to, drip, irrigation, actually, bury, it","secret, to, drip, irrigation, actually, bury, it",teknologi irigasi modern
kS16kRKYJGg,@danielrizky9894,irigasi tetes mengingatkan saya ke pertanian di israel,3,2024-10-23T01:19:44Z,irigasi,2024,irigasi tetes mengingatkan saya ke pertanian di israel,"irigasi, tetes, mengingatkan, saya, ke, pertanian, di, israel","irigasi, tetes, pertanian, israel","irigasi, tetes, tani, israel","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@ATEPE,selang drip pakai ukuran ketebalan berapa,0,2024-10-02T12:05:00Z,irigasi,2024,selang drip pakai ukuran ketebalan berapa,"selang, drip, pakai, ukuran, ketebalan, berapa","selang, drip, pakai, ukuran, ketebalan","selang, drip, pakai, ukur, tebal",teknologi irigasi modern
kS16kRKYJGg,@fathurrohman7079,konektor dari pipa ke kran selang drip apa namanya gan,0,2024-10-01T04:37:52Z,irigasi,2024,konektor dari pipa ke kran selang drip apa namanya gan,"konektor, dari, pipa, ke, kran, selang, drip, apa, namanya, gan","konektor, pipa, kran, selang, drip, namanya, gan","konektor, pipa, kran, selang, drip, nama, gan","biaya infrastruktur irigasi, teknologi irigasi modern"
kS16kRKYJGg,@pdparitemas,apakah selang tetes itu udah ada bolongnya dari sananya apa harus kita yang bolongin,0,2024-08-11T22:29:53Z,irigasi,2024,apakah selang tetes itu udah ada bolongnya dari sananya apa harus kita yang bolongin,"apakah, selang, tetes, itu, udah, ada, bolongnya, dari, sananya, apa, harus, kita, yang, bolongin","selang, tetes, udah, bolongnya, sananya, bolongin","selang, tetes, udah, bolong, sana, bolongin",teknologi irigasi modern
kS16kRKYJGg,@fransiscuspaiman2182,semoga petani indonesia semakin maju hasil melimpah dg cara irigasi tetes bisa menghemat air dan tenaga,0,2024-07-03T10:17:42Z,irigasi,2024,semoga petani indonesia semakin maju hasil melimpah dg cara irigasi tetes bisa menghemat air dan tenaga,"semoga, petani, indonesia, semakin, maju, hasil, melimpah, dg, cara, irigasi, tetes, bisa, menghemat, air, dan, tenaga","semoga, petani, indonesia, maju, hasil, melimpah, dg, irigasi, tetes, menghemat, air, tenaga","moga, tani, indonesia, maju, hasil, limpah, dg, irigasi, tetes, hemat, air, tenaga","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@P0peye-m9g,mas cara menggunakan irigasi tetes bagaimana,0,2024-07-03T03:34:11Z,irigasi,2024,mas cara menggunakan irigasi tetes bagaimana,"mas, cara, menggunakan, irigasi, tetes, bagaimana","mas, irigasi, tetes","mas, irigasi, tetes","efisiensi air irigasi, teknologi irigasi modern"
kS16kRKYJGg,@dianpermana8170,bos melubangi pipa drip nya pakai apa kok netesnya bagus,0,2024-06-13T04:56:00Z,irigasi,2024,bos melubangi pipa drip nya pakai apa kok netesnya bagus,"bos, melubangi, pipa, drip, nya, pakai, apa, kok, netesnya, bagus","bos, melubangi, pipa, drip, nya, pakai, netesnya, bagus","bos, lubang, pipa, drip, , pakai, netes, bagus","biaya infrastruktur irigasi, teknologi irigasi modern"
kS16kRKYJGg,@Bramwijiyanto,klo untuk pohon tahunan misal durian cocok gk ya sistem tetes pak,0,2024-05-17T12:54:22Z,irigasi,2024,klo untuk pohon tahunan misal durian cocok gk ya sistem tetes pak,"klo, untuk, pohon, tahunan, misal, durian, cocok, gk, ya, sistem, tetes, pak","klo, pohon, tahunan, durian, cocok, gk, ya, sistem, tetes","klo, pohon, tahun, durian, cocok, gk, ya, sistem, tetes",teknologi irigasi modern
kS16kRKYJGg,@Kailash-kunwar.5,smart farming good luck brother,0,2024-05-04T15:07:21Z,irigasi,2024,smart farming good luck brother,"smart, farming, good, luck, brother","smart, farming, good, luck, brother","smart, farming, good, luck, brother",teknologi irigasi modern
