video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category,sentiment
-GyJN1tr9RM,@AhmadMaulana-ci5tq,kebetulan disebelah rumah ada lahan kosong mau coba bertanam tpi masih awam trus bingung juga mau tanam apa yg punya ide sama caranya boleh info ya mas terima kasih,2,2024-02-14T08:09:21Z,hidroponik,2024,kebetulan disebelah rumah ada lahan kosong mau coba bertanam tpi masih awam trus bingung juga mau tanam apa yg punya ide sama caranya boleh info ya mas terima kasih,"kebetulan, disebelah, rumah, ada, lahan, kosong, mau, coba, bertanam, tpi, masih, awam, trus, bingung, juga, mau, tanam, apa, yg, punya, ide, sama, caranya, boleh, info, ya, mas, terima, kasih","disebelah, rumah, lahan, kosong, coba, bertanam, tpi, awam, trus, bingung, tanam, yg, ide, info, ya, mas, terima, kasih","belah, rumah, lahan, kosong, coba, tanam, tpi, awam, trus, bingung, tanam, yg, ide, info, ya, mas, terima, kasih","kompleksitas perawatan, minat hidroponik",Positif
YxYvJhEqC98,@muhajir1103,omong kosong bagaimana kurang minat pemuda dalam pertanian kalo semua penuh permainan,0,2022-11-17T07:03:26Z,budidaya organik,2022,omong kosong bagaimana kurang minat pemuda dalam pertanian kalo semua penuh permainan,"omong, kosong, bagaimana, kurang, minat, pemuda, dalam, pertanian, kalo, semua, penuh, permainan","omong, kosong, minat, pemuda, pertanian, kalo, penuh, permainan","omong, kosong, minat, pemuda, tani, kalo, penuh, main",minat konsumen organik,Negatif
-GyJN1tr9RM,@esihjua19,terima kasih pak ilmunya sangat bermanfaat menginsipirasi,6,2023-02-10T07:35:09Z,hidroponik,2023,terima kasih pak ilmunya sangat bermanfaat menginsipirasi,"terima, kasih, pak, ilmunya, sangat, bermanfaat, menginsipirasi","terima, kasih, ilmunya, bermanfaat, menginsipirasi","terima, kasih, ilmu, manfaat, insipirasi",feedback penonton,Positif
-GyJN1tr9RM,@yuditkost1666,om bikin nutrisi yg alami penganti a b mksih,6,2022-07-17T23:13:00Z,hidroponik,2022,om bikin nutrisi yg alami penganti a b mksih,"om, bikin, nutrisi, yg, alami, penganti, a, b, mksih","om, bikin, nutrisi, yg, alami, penganti, a, b, mksih","om, bikin, nutrisi, yg, alami, anti, a, b, mksih",kompleksitas perawatan,Positif
ucfHy84xvec,@iisistiqomah8172,masya allah keren sekaliii kalau jadi tetangga saya saya pasti jadi langgananya ibu karena sayurannya organik bagus buat kesehatan,1,2024-12-20T11:08:53Z,budidaya organik,2024,masya allah keren sekaliii kalau jadi tetangga saya saya pasti jadi langgananya ibu karena sayurannya organik bagus buat kesehatan,"masya, allah, keren, sekaliii, kalau, jadi, tetangga, saya, saya, pasti, jadi, langgananya, ibu, karena, sayurannya, organik, bagus, buat, kesehatan","masya, allah, keren, sekaliii, tetangga, langgananya, sayurannya, organik, bagus, kesehatan","masya, allah, ren, sekaliii, tetangga, langgana, sayur, organik, bagus, sehat","hasil panen organik, kepercayaan produk organik",Positif
bOsToXOFK4A,@hsanmwardi7465,dari ngawi jawa timur hadir pak rizal mohon juga dibuatkan timeline untuk tanaman padi nggeh,0,2025-04-25T13:55:38Z,pengendalian hama,2025,dari ngawi jawa timur hadir pak rizal mohon juga dibuatkan timeline untuk tanaman padi nggeh,"dari, ngawi, jawa, timur, hadir, pak, rizal, mohon, juga, dibuatkan, timeline, untuk, tanaman, padi, nggeh","ngawi, jawa, timur, hadir, rizal, mohon, dibuatkan, timeline, tanaman, padi, nggeh","awi, jawa, timur, hadir, rizal, mohon, buat, timeline, tanam, padi, geh",feedback penonton,Positif
pO43PBserhU,@Sudirman-h5g,bioasil ini apakh d jual d mana atau bgm sox sy berada d pulau sulawesi bang,1,2025-08-11T02:58:47Z,pengendalian hama,2025,bioasil ini apakh d jual d mana atau bgm sox sy berada d pulau sulawesi bang,"bioasil, ini, apakh, d, jual, d, mana, atau, bgm, sox, sy, berada, d, pulau, sulawesi, bang","bioasil, apakh, d, jual, d, bgm, sox, sy, d, pulau, sulawesi, bang","bioasil, apakh, d, jual, d, bgm, sox, sy, d, pulau, sulawesi, bang",feedback penonton,Netral
kS16kRKYJGg,@afiqazahratussyakira2136,untuk selang irigasi tetes bisa bertahan berapa musim ya,0,2024-04-07T04:51:31Z,irigasi,2024,untuk selang irigasi tetes bisa bertahan berapa musim ya,"untuk, selang, irigasi, tetes, bisa, bertahan, berapa, musim, ya","selang, irigasi, tetes, bertahan, musim, ya","selang, irigasi, tetes, tahan, musim, ya","efisiensi air irigasi, teknologi irigasi modern",Netral
GzdFV_r-SHM,@deibylapian7205,selamat sore pak mohon info klo di semprot kena pada buah cabe atau timun apakah tdk berbahaya jika dikonsumsi,2,2024-03-04T08:34:44Z,pengendalian hama,2024,selamat sore pak mohon info klo di semprot kena pada buah cabe atau timun apakah tdk berbahaya jika dikonsumsi,"selamat, sore, pak, mohon, info, klo, di, semprot, kena, pada, buah, cabe, atau, timun, apakah, tdk, berbahaya, jika, dikonsumsi","selamat, sore, mohon, info, klo, semprot, kena, buah, cabe, timun, tdk, berbahaya, dikonsumsi","selamat, sore, mohon, info, klo, semprot, na, buah, cabe, timun, tdk, bahaya, konsumsi",risiko pestisida kesehatan,Negatif
TCRV_d27iG0,@BMijo90,om masa generatif di mulai umur berapa setelah tanam,1,2021-02-06T11:20:14Z,pemupukan,2021,om masa generatif di mulai umur berapa setelah tanam,"om, masa, generatif, di, mulai, umur, berapa, setelah, tanam","om, generatif, umur, tanam","om, generatif, umur, tanam",dosis dan waktu pupuk,Netral
5Fv2tGv9_Vo,@duryuable,kalau saya lihat tanamannya biasa saja aapa adanya apakah beliau ini jualan bibit tanaman nya luar biasa ya bisa hidup bersahaja sederhana spt ini apalagi di imbangi dengan ibadah yg taat utk kehiudpan kekal nanti sy bandingkan dengan rumah pak maman yg sdg kena musibah anaknya meninggal dunia di bunuh sangat jauh swkali rumah nya spr istana,0,2025-12-21T13:31:33Z,budidaya organik,2025,kalau saya lihat tanamannya biasa saja aapa adanya apakah beliau ini jualan bibit tanaman nya luar biasa ya bisa hidup bersahaja sederhana spt ini apalagi di imbangi dengan ibadah yg taat utk kehiudpan kekal nanti sy bandingkan dengan rumah pak maman yg sdg kena musibah anaknya meninggal dunia di bunuh sangat jauh swkali rumah nya spr istana,"kalau, saya, lihat, tanamannya, biasa, saja, aapa, adanya, apakah, beliau, ini, jualan, bibit, tanaman, nya, luar, biasa, ya, bisa, hidup, bersahaja, sederhana, spt, ini, apalagi, di, imbangi, dengan, ibadah, yg, taat, utk, kehiudpan, kekal, nanti, sy, bandingkan, dengan, rumah, pak, maman, yg, sdg, kena, musibah, anaknya, meninggal, dunia, di, bunuh, sangat, jauh, swkali, rumah, nya, spr, istana","lihat, tanamannya, aapa, beliau, jualan, bibit, tanaman, nya, ya, hidup, bersahaja, sederhana, spt, imbangi, ibadah, yg, taat, utk, kehiudpan, kekal, sy, bandingkan, rumah, maman, yg, sdg, kena, musibah, anaknya, meninggal, dunia, bunuh, swkali, rumah, nya, spr, istana","lihat, tanam, aapa, beliau, jual, bibit, tanam, , ya, hidup, sahaja, sederhana, spt, imbang, ibadah, yg, taat, utk, hiudpan, kal, sy, banding, rumah, maman, yg, sdg, na, musibah, anak, tinggal, dunia, bunuh, swkali, rumah, , spr, istana",feedback penonton,Positif
AQLcjhHQBC0,@idalibatara6942,petani indonesia kurang kreatib pemalas karna pemerintah kurang mendukung di sektor pertanian pupuk mahal obat hama mahal hasil pertanian murah,1,2024-04-05T01:25:54Z,irigasi,2024,petani indonesia kurang kreatib pemalas karna pemerintah kurang mendukung di sektor pertanian pupuk mahal obat hama mahal hasil pertanian murah,"petani, indonesia, kurang, kreatib, pemalas, karna, pemerintah, kurang, mendukung, di, sektor, pertanian, pupuk, mahal, obat, hama, mahal, hasil, pertanian, murah","petani, indonesia, kreatib, pemalas, karna, pemerintah, mendukung, sektor, pertanian, pupuk, mahal, obat, hama, mahal, hasil, pertanian, murah","tani, indonesia, kreatib, malas, karna, perintah, dukung, sektor, tani, pupuk, mahal, obat, hama, mahal, hasil, tani, murah","biaya infrastruktur irigasi, efisiensi air irigasi",Negatif
