video_id,author,comment,like,date,topic
JTEhv7JCRF0,@iingfatmawati3471,Bapa posisi di celegon  KLO di celegon saya pengin sekolah pertanian,31,2025-05-21T08:24:56Z,pengendalian hama
JTEhv7JCRF0,@RohmatSaputra-zg1hf,Itu bisa di campur dengan pupuk ultradap Ndak,0,2026-01-04T16:35:57Z,pengendalian hama
JTEhv7JCRF0,@Yoss-m5x,Terima kasih pak atas pembekalan ilmunya. Semoga Bapak dan Keluarga sehat selalu,0,2026-01-03T13:47:10Z,pengendalian hama
JTEhv7JCRF0,@DedyAjah-j2k5w,Untuk dosis nya gimana pak,0,2026-01-03T07:08:08Z,pengendalian hama
JTEhv7JCRF0,@AkangJalu-r8s,Maaf saya dari.pandeglang  . Alamat bapak di. Mana sy mau belajar tani cabai.,0,2025-12-31T23:50:11Z,pengendalian hama
JTEhv7JCRF0,@YusufBahri-u4l,Assamualaikum .BPK salam kenal dari Banyuwangi. Semoga shat slalu.,0,2025-12-29T06:48:31Z,pengendalian hama
JTEhv7JCRF0,@SohibulWafa-u9i,Pembahasan sederhana dan mudah di mengerti.mantab Mbah....,0,2025-12-27T05:24:43Z,pengendalian hama
JTEhv7JCRF0,@SohibulWafa-u9i,Bagaimana dengan SOP bertani Pepaya,0,2025-12-27T05:02:26Z,pengendalian hama
JTEhv7JCRF0,@gedeputra9704,Jenis.  Atau obat yg cocok untuk patekdan busuk buah,0,2025-12-25T13:13:19Z,pengendalian hama
JTEhv7JCRF0,@karyono5859,Insektisida dan fungisida apa yg bagus bwt tanaman cabe keriting,0,2025-12-25T00:37:51Z,pengendalian hama
JTEhv7JCRF0,@AnangHeman,Asalamu alakum pak hji ikut nyimak klw  pnyepreyan prtama curakron mancozep apakah masih bisa di tambah krotalonil misal nya jadi 3 macam? Apakah jangan 🙏🙏,0,2025-12-24T12:44:05Z,pengendalian hama
JTEhv7JCRF0,@MisrunahmadZaenudin-b7c,Trima ksih sekali atas penjelanya semoga Bpk sht semoga ilmunya ber manfaat,0,2025-12-23T23:44:43Z,pengendalian hama
JTEhv7JCRF0,@SitiMarwiyah-b7z,"Makasih bapak, mudah dipahami, cara penyampaiannya, semoga bapak guru slalu sehat dan panjang umur, amin,",0,2025-12-22T17:47:58Z,pengendalian hama
JTEhv7JCRF0,@Berkahmulia-m6f,👍👍👍❤❤❤🙏🙏🙏,0,2025-12-22T17:34:05Z,pengendalian hama
JTEhv7JCRF0,@ImronKurniawan-k3j4y,"Pak untuk ambiton bagusnya dcampur sma pupuk apa pestisida,, untuk dosis ambtion perliter brapa pak... Dan pengunaan interval berapa takutnya keseringan nnti over zpt",0,2025-12-22T17:26:23Z,pengendalian hama
JTEhv7JCRF0,@realmeponsel9955,"Pemaparannya  cukup jelas pak, kalau bisa lebih bagus leiv Langsung.",0,2025-12-21T02:22:50Z,pengendalian hama
JTEhv7JCRF0,@hattea5474,"Maaf pak mau tanya, kalau pagi hari spray cabe menggunakan copside77 lalu sore hari spray insektisida boleh tidak?",0,2025-12-20T01:54:36Z,pengendalian hama
JTEhv7JCRF0,@najiyullah880,Untuk penggunaan pupuk spray sama semprot fungi dan insek apa harus ada jeda hari....,0,2025-12-17T04:53:29Z,pengendalian hama
JTEhv7JCRF0,@sugionosopiyah5667,"Saya baru mau belajar tanam cabe, ingin sekali dibina. Trimakasih banyak P Haji🙏🙏",0,2025-12-16T12:25:59Z,pengendalian hama
JTEhv7JCRF0,@Jurismankampar,Aku suka penjelasannya. Seperti dosen ku,0,2025-12-15T05:52:16Z,pengendalian hama
JTEhv7JCRF0,@SaktiDewi,"Hadir Om .. saya dari JATIM 
saya slalu mengikuti acara/cara n tutorial dari 0m .. pinginya praktek namun msh susah dana",0,2025-12-14T05:27:56Z,pengendalian hama
JTEhv7JCRF0,@AiAndini-y9x,Temakasih saya babu pemula nanam cabe,0,2025-12-13T20:29:31Z,pengendalian hama
JTEhv7JCRF0,@suwarso1159,Izn ikut belajar pak,0,2025-12-13T14:38:16Z,pengendalian hama
JTEhv7JCRF0,@Syahrul-d1i,Makasih atas ilmunya pak😊,0,2025-12-13T05:54:06Z,pengendalian hama
JTEhv7JCRF0,@husnifadli2001,terima kasih pak ilmunya..soalnya sya bru permula menanam cabe dipolibet untuk lahan sempit.semoga dengan ilmu yg bpk berikan menjadi pembelajaran untuk saya sebagai pemula.,0,2025-12-13T01:26:53Z,pengendalian hama
JTEhv7JCRF0,@CeoLiu,Mantap pak .sy tanam cabai daun kering..,0,2025-12-13T00:10:00Z,pengendalian hama
JTEhv7JCRF0,@PetualangJurus,Di campur apa gak insektisida dan fungisida nya ya?,0,2025-12-11T11:09:49Z,pengendalian hama
JTEhv7JCRF0,@Sumaji-k5p,Mantap pak penjelasannya 👍🙏🙏,0,2025-12-10T07:37:30Z,pengendalian hama
JTEhv7JCRF0,@LautikGinting,Terimakasih Abah atas penjelasannya.... penyampaian nya bagi saya sangat2 bagus gampang sekali di pahami.... maturnuwun Abah....❤❤❤,0,2025-12-10T04:10:45Z,pengendalian hama
JTEhv7JCRF0,@solemansoleman0101,Pak bagaimana soal media tanam cabe.,0,2025-12-10T03:44:29Z,pengendalian hama
